[1787, 1218]
[paragraph, [121.0, 159.0, 932.0, 36.0], shoonya_0sHD3D3CMBHJT9, 5651098]
[paragraph, [121.0, 195.0, 932.0, 36.0], shoonya_0sHD3D3CMBHJT9, 5651098]
[paragraph, [121.0, 231.0, 932.0, 36.0], shoonya_0sHD3D3CMBHJT9, 5651098]
[paragraph, [121.0, 267.0, 932.0, 36.0], shoonya_0sHD3D3CMBHJT9, 5651098]
[paragraph, [121.0, 303.0, 932.0, 36.0], shoonya_0sHD3D3CMBHJT9, 5651098]
[paragraph, [121.0, 339.0, 932.0, 36.0], shoonya_0sHD3D3CMBHJT9, 5651098]
[paragraph, [125.0, 387.0, 937.0, 36.0], shoonya_2sY0G9PV2Q457X, 5651098]
[paragraph, [125.0, 423.0, 937.0, 36.0], shoonya_2sY0G9PV2Q457X, 5651098]
[paragraph, [125.0, 459.0, 937.0, 36.0], shoonya_2sY0G9PV2Q457X, 5651098]
[paragraph, [125.0, 495.0, 937.0, 36.0], shoonya_2sY0G9PV2Q457X, 5651098]
[paragraph, [124.0, 527.0, 934.0, 36.0], shoonya_3s8WOCQRSNBY1R, 5651098]
[paragraph, [124.0, 563.0, 934.0, 36.0], shoonya_3s8WOCQRSNBY1R, 5651098]
[paragraph, [124.0, 599.0, 934.0, 36.0], shoonya_3s8WOCQRSNBY1R, 5651098]
[paragraph, [124.0, 635.0, 934.0, 36.0], shoonya_3s8WOCQRSNBY1R, 5651098]
[ordered-list, [186.0, 687.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 723.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 759.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 795.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 831.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 867.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 903.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 939.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 975.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1011.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1047.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1083.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1119.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1155.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1191.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1227.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1263.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1299.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1335.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1371.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1407.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1443.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1479.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1515.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
[ordered-list, [186.0, 1551.0, 823.0, 36.0], shoonya_1s9E8BOP1FNR8V, 5651098]
