[2067, 1567]
[folio, [1249.0, 193.0, 129.0, 36.0], cCRELYsXS_, 5735980]
[folio, [197.0, 195.0, 297.0, 36.0], GKHUo8-7zk, 5735980]
[paragraph, [790.0, 247.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 283.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 319.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 355.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 391.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 427.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 463.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 499.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 535.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 571.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 607.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 643.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 679.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 715.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 751.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 787.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 823.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 859.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 895.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 931.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 967.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [790.0, 1003.0, 580.0, 36.0], shoonya_0sUT31OUNI634L, 5735980]
[paragraph, [191.0, 248.0, 581.0, 36.0], shoonya_6s2OJ5N16XZLS4, 5735980]
[paragraph, [191.0, 284.0, 581.0, 36.0], shoonya_6s2OJ5N16XZLS4, 5735980]
[paragraph, [191.0, 320.0, 581.0, 36.0], shoonya_6s2OJ5N16XZLS4, 5735980]
[paragraph, [194.0, 382.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [194.0, 418.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [194.0, 454.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [194.0, 490.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [194.0, 526.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [194.0, 562.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [194.0, 598.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [194.0, 634.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [194.0, 670.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [194.0, 706.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [194.0, 742.0, 576.0, 36.0], qQYQRa-MTs, 5735980]
[paragraph, [188.0, 782.0, 586.0, 36.0], qEmITn2Ztt, 5735980]
