[1275, 1650]
[folio, [172.0, 115.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[folio, [172.0, 133.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[folio, [172.0, 151.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[folio, [172.0, 169.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[folio, [172.0, 187.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[folio, [172.0, 205.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[folio, [172.0, 223.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[folio, [172.0, 241.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[folio, [172.0, 259.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[folio, [172.0, 277.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[folio, [172.0, 295.0, 610.0, 18.0], shoonya_2s4KM0WZK28OYL, 5764420]
[section-title, [1181.0, 185.0, 92.0, 30.0], LXy9ToOQ-1, 5764420]
[sidebar, [1452.0, 206.0, 134.0, 18.0], q8zS3IRPQ-, 5764420]
[sidebar, [1452.0, 224.0, 134.0, 18.0], q8zS3IRPQ-, 5764420]
[second-level-question, [849.0, 257.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 275.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 293.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 311.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 329.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 347.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 365.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 383.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 401.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 419.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 437.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 455.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 473.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 491.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 509.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 527.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 545.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 563.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 581.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 599.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 617.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 635.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 653.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 671.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 689.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 707.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 725.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 743.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[second-level-question, [849.0, 761.0, 754.0, 18.0], A25LxTGzaF, 5764420]
[sidebar, [90.0, 323.0, 119.0, 18.0], Vq6kHrIITt, 5764420]
[sidebar, [561.0, 328.0, 226.0, 18.0], JTZfvl_wBP, 5764420]
[sidebar, [653.0, 383.0, 119.0, 18.0], iGcPcxXvDD, 5764420]
[second-level-question, [72.0, 431.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 449.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 467.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 485.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 503.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 521.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 539.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 557.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 575.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 593.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 611.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 629.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 647.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 665.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 683.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 701.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 719.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 737.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 755.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 773.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 791.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 809.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 827.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
[second-level-question, [72.0, 845.0, 711.0, 18.0], lRk4nGwIeM, 5764420]
