[1162, 749]
[folio, [308.0, 73.0, 133.0, 18.0], shoonya_4s0DAMXFNF1XIE, 5699849]
[paragraph, [76.0, 121.0, 599.0, 18.0], shoonya_0sUPSIRWAILCWY, 5699849]
[paragraph, [76.0, 139.0, 599.0, 18.0], shoonya_0sUPSIRWAILCWY, 5699849]
[paragraph, [76.0, 157.0, 599.0, 18.0], shoonya_0sUPSIRWAILCWY, 5699849]
[paragraph, [74.0, 193.0, 596.0, 18.0], Pmpjteob1s, 5699849]
[paragraph, [74.0, 211.0, 596.0, 18.0], Pmpjteob1s, 5699849]
[paragraph, [74.0, 229.0, 596.0, 18.0], Pmpjteob1s, 5699849]
[paragraph, [74.0, 263.0, 601.0, 18.0], hAsQ1SdeAm, 5699849]
[paragraph, [74.0, 281.0, 601.0, 18.0], hAsQ1SdeAm, 5699849]
[paragraph, [74.0, 299.0, 601.0, 18.0], hAsQ1SdeAm, 5699849]
[paragraph, [74.0, 317.0, 601.0, 18.0], hAsQ1SdeAm, 5699849]
[paragraph, [74.0, 335.0, 601.0, 18.0], hAsQ1SdeAm, 5699849]
[paragraph, [74.0, 353.0, 601.0, 18.0], hAsQ1SdeAm, 5699849]
[paragraph, [74.0, 371.0, 601.0, 18.0], hAsQ1SdeAm, 5699849]
[paragraph, [74.0, 389.0, 601.0, 18.0], hAsQ1SdeAm, 5699849]
[paragraph, [74.0, 407.0, 601.0, 18.0], hAsQ1SdeAm, 5699849]
[paragraph, [79.0, 431.0, 594.0, 18.0], shoonya_1sIQ9NG0YWU9T5, 5699849]
[paragraph, [79.0, 449.0, 594.0, 18.0], shoonya_1sIQ9NG0YWU9T5, 5699849]
[paragraph, [79.0, 467.0, 594.0, 18.0], shoonya_1sIQ9NG0YWU9T5, 5699849]
[paragraph, [79.0, 485.0, 594.0, 18.0], shoonya_1sIQ9NG0YWU9T5, 5699849]
[paragraph, [79.0, 503.0, 594.0, 18.0], shoonya_1sIQ9NG0YWU9T5, 5699849]
[paragraph, [79.0, 521.0, 594.0, 18.0], shoonya_1sIQ9NG0YWU9T5, 5699849]
[paragraph, [79.0, 539.0, 594.0, 18.0], shoonya_1sIQ9NG0YWU9T5, 5699849]
[paragraph, [79.0, 557.0, 594.0, 18.0], shoonya_1sIQ9NG0YWU9T5, 5699849]
[paragraph, [79.0, 575.0, 594.0, 18.0], shoonya_1sIQ9NG0YWU9T5, 5699849]
[paragraph, [81.0, 603.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 621.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 639.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 657.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 675.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 693.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 711.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 729.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 747.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 765.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 783.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 801.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 819.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 837.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [81.0, 855.0, 591.0, 18.0], shoonya_2sNEYMZNIT7QX7, 5699849]
[paragraph, [79.0, 882.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
[paragraph, [79.0, 900.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
[paragraph, [79.0, 918.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
[paragraph, [79.0, 936.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
[paragraph, [79.0, 954.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
[paragraph, [79.0, 972.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
[paragraph, [79.0, 990.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
[paragraph, [79.0, 1008.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
[paragraph, [79.0, 1026.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
[paragraph, [79.0, 1044.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
[paragraph, [79.0, 1062.0, 596.0, 18.0], shoonya_3sXJVBRR9FLU0Y, 5699849]
