[2200, 1700]
[paragraph, [285.0, 105.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 141.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 177.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 213.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 249.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 285.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 321.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 357.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 393.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 429.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 465.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 501.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 537.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 573.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 609.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 645.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 681.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 717.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 753.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 789.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [285.0, 825.0, 1122.0, 36.0], shoonya_1sHC1KAVY8BZ2M, 5731690]
[paragraph, [296.0, 902.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 938.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 974.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1010.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1046.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1082.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1118.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1154.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1190.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1226.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1262.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1298.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1334.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1370.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1406.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1442.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1478.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [296.0, 1514.0, 1113.0, 36.0], shoonya_0sCUBN9AWSPM8R, 5731690]
[paragraph, [302.0, 1575.0, 1093.0, 36.0], shoonya_2sGE4NCDVUF8ZC, 5731690]
[paragraph, [302.0, 1611.0, 1093.0, 36.0], shoonya_2sGE4NCDVUF8ZC, 5731690]
[paragraph, [302.0, 1647.0, 1093.0, 36.0], shoonya_2sGE4NCDVUF8ZC, 5731690]
[paragraph, [302.0, 1683.0, 1093.0, 36.0], shoonya_2sGE4NCDVUF8ZC, 5731690]
[paragraph, [302.0, 1719.0, 1093.0, 36.0], shoonya_2sGE4NCDVUF8ZC, 5731690]
[paragraph, [302.0, 1755.0, 1093.0, 36.0], shoonya_2sGE4NCDVUF8ZC, 5731690]
[paragraph, [302.0, 1791.0, 1093.0, 36.0], shoonya_2sGE4NCDVUF8ZC, 5731690]
[footnote, [309.0, 1868.0, 1080.0, 36.0], 0FGeD5r1FL, 5731690]
[footnote, [309.0, 1904.0, 1080.0, 36.0], 0FGeD5r1FL, 5731690]
[folio, [955.0, 2064.0, 356.0, 36.0], wfFyBVAgvd, 5731690]
