[1754, 1241]
[paragraph, [220.0, 134.0, 876.0, 36.0], dLdNMxUbVP, 6470697]
[paragraph, [220.0, 170.0, 876.0, 36.0], dLdNMxUbVP, 6470697]
[paragraph, [220.0, 206.0, 876.0, 36.0], dLdNMxUbVP, 6470697]
[paragraph, [220.0, 242.0, 876.0, 36.0], dLdNMxUbVP, 6470697]
[paragraph, [213.0, 309.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 345.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 381.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 417.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 453.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 489.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 525.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 561.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 597.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 633.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 669.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 705.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 741.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 777.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 813.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 849.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 885.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 921.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 957.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [213.0, 993.0, 888.0, 36.0], shoonya_0sB4ZVG4ZNYUDM, 6470697]
[paragraph, [212.0, 1064.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1100.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1136.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1172.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1208.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1244.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1280.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1316.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1352.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1388.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1424.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
[paragraph, [212.0, 1460.0, 891.0, 36.0], 6X5UEhCynq, 6470697]
