[1806, 1262]
[folio, [163.0, 101.0, 503.0, 36.0], shoonya_3sXJ07QKBHBCYO, 5680861]
[paragraph, [91.0, 173.0, 507.0, 36.0], shoonya_1sEGTJKF4UGI6W, 5680861]
[paragraph, [91.0, 209.0, 507.0, 36.0], shoonya_1sEGTJKF4UGI6W, 5680861]
[paragraph, [656.0, 176.0, 496.0, 36.0], shoonya_4sNLCAWGDFAPLB, 5680861]
[paragraph, [656.0, 212.0, 496.0, 36.0], shoonya_4sNLCAWGDFAPLB, 5680861]
[paragraph, [664.0, 257.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 293.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 329.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 365.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 401.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 437.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 473.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 509.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 545.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 581.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 617.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 653.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 689.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 725.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 761.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 797.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 833.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 869.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 905.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 941.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 977.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 1013.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 1049.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [664.0, 1085.0, 492.0, 36.0], Q2AqezmSv-, 5680861]
[paragraph, [99.0, 294.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 330.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 366.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 402.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 438.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 474.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 510.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 546.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 582.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 618.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 654.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 690.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 726.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 762.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 798.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 834.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 870.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 906.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
[paragraph, [99.0, 942.0, 507.0, 36.0], shoonya_2s3UHDFUYH0PDK, 5680861]
