[1050, 693]
[folio, [519.0, 74.0, 89.0, 18.0], FU97aiyW8W, 5702368]
[folio, [519.0, 92.0, 89.0, 18.0], FU97aiyW8W, 5702368]
[paragraph, [83.0, 124.0, 529.0, 18.0], vv9CcgVvs9, 5702368]
[paragraph, [83.0, 142.0, 529.0, 18.0], vv9CcgVvs9, 5702368]
[paragraph, [83.0, 160.0, 529.0, 18.0], vv9CcgVvs9, 5702368]
[paragraph, [83.0, 178.0, 529.0, 18.0], vv9CcgVvs9, 5702368]
[paragraph, [83.0, 196.0, 529.0, 18.0], vv9CcgVvs9, 5702368]
[paragraph, [83.0, 224.0, 531.0, 18.0], k1C2vglpFv, 5702368]
[paragraph, [83.0, 242.0, 531.0, 18.0], k1C2vglpFv, 5702368]
[paragraph, [83.0, 260.0, 531.0, 18.0], k1C2vglpFv, 5702368]
[paragraph, [83.0, 278.0, 531.0, 18.0], k1C2vglpFv, 5702368]
[paragraph, [83.0, 296.0, 531.0, 18.0], k1C2vglpFv, 5702368]
[paragraph, [128.0, 326.0, 314.0, 18.0], gfRuJTgq0G, 5702368]
[paragraph, [128.0, 344.0, 314.0, 18.0], gfRuJTgq0G, 5702368]
[paragraph, [83.0, 364.0, 528.0, 18.0], shoonya_3sC6SXSLGNFRX7, 5702368]
[paragraph, [83.0, 382.0, 528.0, 18.0], shoonya_3sC6SXSLGNFRX7, 5702368]
[paragraph, [83.0, 400.0, 528.0, 18.0], shoonya_3sC6SXSLGNFRX7, 5702368]
[paragraph, [83.0, 418.0, 528.0, 18.0], shoonya_3sC6SXSLGNFRX7, 5702368]
[paragraph, [83.0, 436.0, 528.0, 18.0], shoonya_3sC6SXSLGNFRX7, 5702368]
[paragraph, [81.0, 462.0, 532.0, 18.0], YCIKDt2NQk, 5702368]
[paragraph, [81.0, 480.0, 532.0, 18.0], YCIKDt2NQk, 5702368]
[paragraph, [81.0, 498.0, 532.0, 18.0], YCIKDt2NQk, 5702368]
[paragraph, [137.0, 529.0, 317.0, 18.0], shoonya_1s3Q4R81ZVMF4A, 5702368]
[paragraph, [137.0, 547.0, 317.0, 18.0], shoonya_1s3Q4R81ZVMF4A, 5702368]
[paragraph, [84.0, 568.0, 528.0, 18.0], shoonya_2sN37TXY47I1W6, 5702368]
[paragraph, [84.0, 586.0, 528.0, 18.0], shoonya_2sN37TXY47I1W6, 5702368]
[paragraph, [84.0, 604.0, 528.0, 18.0], shoonya_2sN37TXY47I1W6, 5702368]
[paragraph, [84.0, 622.0, 528.0, 18.0], shoonya_2sN37TXY47I1W6, 5702368]
[paragraph, [84.0, 640.0, 528.0, 18.0], shoonya_2sN37TXY47I1W6, 5702368]
[paragraph, [87.0, 668.0, 521.0, 18.0], shoonya_4sVC6IUSNOVQVR, 5702368]
[paragraph, [87.0, 686.0, 521.0, 18.0], shoonya_4sVC6IUSNOVQVR, 5702368]
[paragraph, [87.0, 704.0, 521.0, 18.0], shoonya_4sVC6IUSNOVQVR, 5702368]
[paragraph, [86.0, 749.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 767.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 785.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 803.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 821.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 839.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 857.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 875.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 893.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 911.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 929.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
[paragraph, [86.0, 947.0, 529.0, 18.0], shoonya_0sMN73O4ZKY67P, 5702368]
