[1034, 679]
[author, [30.0, 174.0, 279.0, 18.0], shoonya_0sT95UHI2XTI6V, 5739477]
[author, [30.0, 192.0, 279.0, 18.0], shoonya_0sT95UHI2XTI6V, 5739477]
[author, [30.0, 210.0, 279.0, 18.0], shoonya_0sT95UHI2XTI6V, 5739477]
[author, [30.0, 228.0, 279.0, 18.0], shoonya_0sT95UHI2XTI6V, 5739477]
[author, [30.0, 246.0, 279.0, 18.0], shoonya_0sT95UHI2XTI6V, 5739477]
[author, [30.0, 264.0, 279.0, 18.0], shoonya_0sT95UHI2XTI6V, 5739477]
[folio, [77.0, 666.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 684.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 702.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 720.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 738.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 756.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 774.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 792.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 810.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 828.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 846.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 864.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 882.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 900.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 918.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
[folio, [77.0, 936.0, 277.0, 18.0], ldlC5MzXFl, 5739477]
