[842, 595]
[section-title, [317.0, 66.0, 200.0, 30.0], kVQ7laG1Rz, 5757301]
[section-title, [317.0, 96.0, 200.0, 30.0], kVQ7laG1Rz, 5757301]
[section-title, [317.0, 126.0, 200.0, 30.0], kVQ7laG1Rz, 5757301]
[options, [124.0, 68.0, 122.0, 18.0], shoonya_2sDRNXMCD5IFFB, 5757301]
[options, [124.0, 86.0, 122.0, 18.0], shoonya_2sDRNXMCD5IFFB, 5757301]
[options, [122.0, 175.0, 97.0, 18.0], shoonya_1sCFL469T80VV3, 5757301]
[options, [122.0, 193.0, 97.0, 18.0], shoonya_1sCFL469T80VV3, 5757301]
[options, [122.0, 211.0, 97.0, 18.0], shoonya_1sCFL469T80VV3, 5757301]
[options, [122.0, 229.0, 97.0, 18.0], shoonya_1sCFL469T80VV3, 5757301]
[options, [365.0, 232.0, 138.0, 18.0], shoonya_14sAJAQLMRNGZB, 5757301]
[options, [365.0, 250.0, 138.0, 18.0], shoonya_14sAJAQLMRNGZB, 5757301]
[options, [365.0, 268.0, 138.0, 18.0], shoonya_14sAJAQLMRNGZB, 5757301]
[options, [365.0, 286.0, 138.0, 18.0], shoonya_14sAJAQLMRNGZB, 5757301]
[options, [118.0, 329.0, 72.0, 18.0], potAjYYqT7, 5757301]
[options, [118.0, 347.0, 72.0, 18.0], potAjYYqT7, 5757301]
[options, [118.0, 365.0, 72.0, 18.0], potAjYYqT7, 5757301]
[options, [118.0, 383.0, 72.0, 18.0], potAjYYqT7, 5757301]
[options, [361.0, 401.0, 158.0, 18.0], Lit9Z6AySG, 5757301]
[options, [361.0, 419.0, 158.0, 18.0], Lit9Z6AySG, 5757301]
[options, [361.0, 437.0, 158.0, 18.0], Lit9Z6AySG, 5757301]
[options, [361.0, 455.0, 158.0, 18.0], Lit9Z6AySG, 5757301]
[options, [361.0, 473.0, 158.0, 18.0], Lit9Z6AySG, 5757301]
[options, [361.0, 491.0, 158.0, 18.0], Lit9Z6AySG, 5757301]
[options, [361.0, 509.0, 158.0, 18.0], Lit9Z6AySG, 5757301]
[options, [361.0, 527.0, 158.0, 18.0], Lit9Z6AySG, 5757301]
[options, [361.0, 545.0, 158.0, 18.0], Lit9Z6AySG, 5757301]
[options, [367.0, 640.0, 126.0, 18.0], shoonya_0s74TGPRA8U5JR, 5757301]
[options, [367.0, 658.0, 126.0, 18.0], shoonya_0s74TGPRA8U5JR, 5757301]
[options, [367.0, 676.0, 126.0, 18.0], shoonya_0s74TGPRA8U5JR, 5757301]
[options, [367.0, 694.0, 126.0, 18.0], shoonya_0s74TGPRA8U5JR, 5757301]
[footnote, [116.0, 784.0, 356.0, 18.0], 7jUYUZNHO2, 5757301]
