[1601, 1158]
[headline, [218.0, 92.0, 275.0, 37.5], EEWKTjfFnx, 5695710]
[unordered-list, [146.0, 278.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 314.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 350.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 386.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 422.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 458.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 494.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 530.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 566.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 602.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 638.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 674.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 710.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 746.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 782.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 818.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 854.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 890.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 926.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 962.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 998.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1034.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1070.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1106.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1142.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1178.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1214.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1250.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1286.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1322.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1358.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1394.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1430.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[unordered-list, [146.0, 1466.0, 433.0, 36.0], sbpQrzL0sC, 5695710]
[figure-caption, [765.0, 542.0, 184.0, 36.0], shoonya_3sF2KW7DL6XIG5, 5695710]
[folio, [68.0, 593.0, 49.0, 36.0], bRO3FgLfRi, 5695710]
[folio, [56.0, 1004.0, 72.0, 36.0], wnMmmjepWV, 5695710]
[figure-caption, [741.0, 1466.0, 197.0, 36.0], shoonya_5sLJCJ2KF1OUV5, 5695710]
