[2806, 1983]
[paragraph, [217.0, 235.0, 1550.0, 46.5], shoonya_0s3LSSA9KUUVHB, 5682297]
[paragraph, [217.0, 281.5, 1550.0, 46.5], shoonya_0s3LSSA9KUUVHB, 5682297]
[paragraph, [217.0, 328.0, 1550.0, 46.5], shoonya_0s3LSSA9KUUVHB, 5682297]
[paragraph, [217.0, 374.5, 1550.0, 46.5], shoonya_0s3LSSA9KUUVHB, 5682297]
[paragraph, [217.0, 421.0, 1550.0, 46.5], shoonya_0s3LSSA9KUUVHB, 5682297]
[paragraph, [217.0, 467.5, 1550.0, 46.5], shoonya_0s3LSSA9KUUVHB, 5682297]
[paragraph, [217.0, 514.0, 1550.0, 46.5], shoonya_0s3LSSA9KUUVHB, 5682297]
[paragraph, [217.0, 560.5, 1550.0, 46.5], shoonya_0s3LSSA9KUUVHB, 5682297]
[paragraph, [213.0, 773.0, 1554.0, 46.5], bQVFkt97CO, 5682297]
[paragraph, [213.0, 819.5, 1554.0, 46.5], bQVFkt97CO, 5682297]
[paragraph, [213.0, 866.0, 1554.0, 46.5], bQVFkt97CO, 5682297]
[paragraph, [213.0, 912.5, 1554.0, 46.5], bQVFkt97CO, 5682297]
[paragraph, [213.0, 959.0, 1554.0, 46.5], bQVFkt97CO, 5682297]
[paragraph, [213.0, 1005.5, 1554.0, 46.5], bQVFkt97CO, 5682297]
[paragraph, [213.0, 1052.0, 1554.0, 46.5], bQVFkt97CO, 5682297]
[paragraph, [213.0, 1098.5, 1554.0, 46.5], bQVFkt97CO, 5682297]
[paragraph, [213.0, 1145.0, 1554.0, 46.5], bQVFkt97CO, 5682297]
[paragraph, [213.0, 1191.5, 1554.0, 46.5], bQVFkt97CO, 5682297]
[paragraph, [215.0, 1383.0, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1429.5, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1476.0, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1522.5, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1569.0, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1615.5, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1662.0, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1708.5, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1755.0, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1801.5, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1848.0, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1894.5, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1941.0, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 1987.5, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 2034.0, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 2080.5, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 2127.0, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 2173.5, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 2220.0, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
[paragraph, [215.0, 2266.5, 1551.0, 46.5], Mtf0e3_9vb, 5682297]
