[2050, 1472]
[paragraph, [229.0, 181.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 217.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 253.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 289.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 325.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 361.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 397.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 433.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 469.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 505.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 541.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [229.0, 577.0, 1089.0, 36.0], shoonya_0sLPID8JXS3B3C, 5651014]
[paragraph, [230.0, 675.0, 1089.0, 36.0], shoonya_2sMEPL0T6XC8DQ, 5651014]
[paragraph, [230.0, 711.0, 1089.0, 36.0], shoonya_2sMEPL0T6XC8DQ, 5651014]
[paragraph, [230.0, 747.0, 1089.0, 36.0], shoonya_2sMEPL0T6XC8DQ, 5651014]
[paragraph, [230.0, 783.0, 1089.0, 36.0], shoonya_2sMEPL0T6XC8DQ, 5651014]
[paragraph, [230.0, 819.0, 1089.0, 36.0], shoonya_2sMEPL0T6XC8DQ, 5651014]
[paragraph, [230.0, 855.0, 1089.0, 36.0], shoonya_2sMEPL0T6XC8DQ, 5651014]
[paragraph, [230.0, 891.0, 1089.0, 36.0], shoonya_2sMEPL0T6XC8DQ, 5651014]
[paragraph, [230.0, 927.0, 1089.0, 36.0], shoonya_2sMEPL0T6XC8DQ, 5651014]
[paragraph, [230.0, 963.0, 1089.0, 36.0], shoonya_2sMEPL0T6XC8DQ, 5651014]
[section-title, [228.0, 1036.0, 1005.0, 52.5], shoonya_5sFDXAGHJWG0E6, 5651014]
[paragraph, [227.0, 1137.0, 1090.0, 36.0], shoonya_3sLA6HFRKR0R31, 5651014]
[paragraph, [227.0, 1173.0, 1090.0, 36.0], shoonya_3sLA6HFRKR0R31, 5651014]
[paragraph, [227.0, 1209.0, 1090.0, 36.0], shoonya_3sLA6HFRKR0R31, 5651014]
[paragraph, [227.0, 1245.0, 1090.0, 36.0], shoonya_3sLA6HFRKR0R31, 5651014]
[paragraph, [227.0, 1281.0, 1090.0, 36.0], shoonya_3sLA6HFRKR0R31, 5651014]
[paragraph, [227.0, 1317.0, 1090.0, 36.0], shoonya_3sLA6HFRKR0R31, 5651014]
[paragraph, [227.0, 1353.0, 1090.0, 36.0], shoonya_3sLA6HFRKR0R31, 5651014]
[paragraph, [227.0, 1431.0, 1088.0, 36.0], shoonya_1sVQUD8LTAW7WJ, 5651014]
[paragraph, [227.0, 1467.0, 1088.0, 36.0], shoonya_1sVQUD8LTAW7WJ, 5651014]
[paragraph, [227.0, 1503.0, 1088.0, 36.0], shoonya_1sVQUD8LTAW7WJ, 5651014]
[paragraph, [227.0, 1539.0, 1088.0, 36.0], shoonya_1sVQUD8LTAW7WJ, 5651014]
[paragraph, [227.0, 1575.0, 1088.0, 36.0], shoonya_1sVQUD8LTAW7WJ, 5651014]
[paragraph, [227.0, 1611.0, 1088.0, 36.0], shoonya_1sVQUD8LTAW7WJ, 5651014]
[paragraph, [227.0, 1647.0, 1088.0, 36.0], shoonya_1sVQUD8LTAW7WJ, 5651014]
[paragraph, [226.0, 1727.0, 1088.0, 36.0], shoonya_6sOB111SBGLUXI, 5651014]
[paragraph, [226.0, 1763.0, 1088.0, 36.0], shoonya_6sOB111SBGLUXI, 5651014]
[paragraph, [226.0, 1799.0, 1088.0, 36.0], shoonya_6sOB111SBGLUXI, 5651014]
[paragraph, [226.0, 1835.0, 1088.0, 36.0], shoonya_6sOB111SBGLUXI, 5651014]
[paragraph, [226.0, 1871.0, 1088.0, 36.0], shoonya_6sOB111SBGLUXI, 5651014]
