[1011, 661]
[folio, [34.0, 47.0, 133.0, 18.0], DvSUNJGya7, 5774288]
[folio, [34.0, 65.0, 133.0, 18.0], DvSUNJGya7, 5774288]
[folio, [388.0, 47.0, 219.0, 18.0], Fm00r4HKcT, 5774288]
[folio, [388.0, 65.0, 219.0, 18.0], Fm00r4HKcT, 5774288]
[paragraph, [37.0, 85.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 103.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 121.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 139.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 157.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 175.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 193.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 211.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 229.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 247.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 265.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 283.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 301.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 319.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[paragraph, [37.0, 337.0, 579.0, 18.0], aAGTa9-qoP, 5774288]
[section-title, [104.0, 355.0, 426.0, 30.0], dUiBJEm8sZ, 5774288]
[paragraph, [40.0, 395.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 413.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 431.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 449.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 467.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 485.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 503.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 521.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 539.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 557.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 575.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 593.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 611.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 629.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 647.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 665.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 683.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 701.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 719.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 737.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 755.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 773.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 791.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 809.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 827.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 845.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 863.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 881.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 899.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 917.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
[paragraph, [40.0, 935.0, 591.0, 18.0], shoonya_0s50FWYB1UCTK0, 5774288]
