[1387, 987]
[paragraph, [58.0, 89.0, 816.0, 18.0], shoonya_2sLG9ARD18HYX5, 5652058]
[paragraph, [58.0, 107.0, 816.0, 18.0], shoonya_2sLG9ARD18HYX5, 5652058]
[paragraph, [58.0, 125.0, 816.0, 18.0], shoonya_2sLG9ARD18HYX5, 5652058]
[paragraph, [58.0, 143.0, 816.0, 18.0], shoonya_2sLG9ARD18HYX5, 5652058]
[paragraph, [58.0, 161.0, 816.0, 18.0], shoonya_2sLG9ARD18HYX5, 5652058]
[paragraph, [58.0, 179.0, 816.0, 18.0], shoonya_2sLG9ARD18HYX5, 5652058]
[paragraph, [71.0, 221.0, 314.0, 18.0], z_RyZLUQ0v, 5652058]
[paragraph, [71.0, 239.0, 314.0, 18.0], z_RyZLUQ0v, 5652058]
[paragraph, [71.0, 257.0, 314.0, 18.0], z_RyZLUQ0v, 5652058]
[paragraph, [80.0, 289.0, 477.0, 18.0], KBUQ7rrmIY, 5652058]
[paragraph, [80.0, 307.0, 477.0, 18.0], KBUQ7rrmIY, 5652058]
[paragraph, [80.0, 325.0, 477.0, 18.0], KBUQ7rrmIY, 5652058]
[paragraph, [88.0, 347.0, 779.0, 18.0], shoonya_3s70GEQBH7UZ3N, 5652058]
[paragraph, [88.0, 365.0, 779.0, 18.0], shoonya_3s70GEQBH7UZ3N, 5652058]
[paragraph, [88.0, 383.0, 779.0, 18.0], shoonya_3s70GEQBH7UZ3N, 5652058]
[paragraph, [88.0, 401.0, 779.0, 18.0], shoonya_3s70GEQBH7UZ3N, 5652058]
[paragraph, [88.0, 419.0, 779.0, 18.0], shoonya_3s70GEQBH7UZ3N, 5652058]
[paragraph, [88.0, 437.0, 779.0, 18.0], shoonya_3s70GEQBH7UZ3N, 5652058]
[paragraph, [31.0, 465.0, 854.0, 18.0], shoonya_0s87Y1BRJL02OQ, 5652058]
[paragraph, [31.0, 483.0, 854.0, 18.0], shoonya_0s87Y1BRJL02OQ, 5652058]
[paragraph, [31.0, 501.0, 854.0, 18.0], shoonya_0s87Y1BRJL02OQ, 5652058]
[paragraph, [31.0, 519.0, 854.0, 18.0], shoonya_0s87Y1BRJL02OQ, 5652058]
[paragraph, [45.0, 549.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 567.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 585.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 603.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 621.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 639.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 657.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 675.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 693.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 711.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 729.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 747.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 765.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 783.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [45.0, 801.0, 860.0, 18.0], shoonya_1sWQ1L2UXSRJ54, 5652058]
[paragraph, [67.0, 834.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 852.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 870.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 888.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 906.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 924.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 942.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 960.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 978.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 996.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1014.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1032.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1050.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1068.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1086.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1104.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1122.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1140.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1158.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1176.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
[paragraph, [67.0, 1194.0, 888.0, 18.0], Ool5KEBQLC, 5652058]
