[2339, 1653]
[paragraph, [228.0, 205.0, 1158.0, 36.0], shoonya_5sF92P3MH9OHVR, 5686811]
[paragraph, [316.0, 285.0, 1083.0, 36.0], s37_UDsj5l, 5686811]
[paragraph, [316.0, 321.0, 1083.0, 36.0], s37_UDsj5l, 5686811]
[paragraph, [316.0, 357.0, 1083.0, 36.0], s37_UDsj5l, 5686811]
[reference, [696.0, 431.0, 671.0, 36.0], QdNdPlpc3M, 5686811]
[paragraph, [222.0, 504.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 540.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 576.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 612.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 648.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 684.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 720.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 756.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 792.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 828.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 864.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 900.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 936.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 972.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 1008.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 1044.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 1080.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [222.0, 1116.0, 1208.0, 36.0], shoonya_2sOR1FL3BZKISY, 5686811]
[paragraph, [223.0, 1178.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1214.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1250.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1286.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1322.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1358.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1394.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1430.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1466.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1502.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1538.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [223.0, 1574.0, 1205.0, 36.0], shoonya_1s6UAUYISSVNE7, 5686811]
[paragraph, [225.0, 1629.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[paragraph, [225.0, 1665.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[paragraph, [225.0, 1701.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[paragraph, [225.0, 1737.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[paragraph, [225.0, 1773.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[paragraph, [225.0, 1809.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[paragraph, [225.0, 1845.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[paragraph, [225.0, 1881.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[paragraph, [225.0, 1917.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[paragraph, [225.0, 1953.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[paragraph, [225.0, 1989.0, 1204.0, 36.0], shoonya_0sZTOOLW1KFYZH, 5686811]
[reference, [233.0, 2086.0, 303.0, 36.0], shoonya_3sXAKTPQPCW8BY, 5686811]
