[590, 396]
[section-title, [65.0, 144.0, 303.0, 30.0], tPnaCZFeC_, 6516461]
[paragraph, [61.0, 194.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 212.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 230.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 248.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 266.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 284.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 302.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 320.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 338.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 356.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 374.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 392.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 410.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 428.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 446.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 464.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [61.0, 482.0, 306.0, 18.0], shoonya_0sMITHZ6NYF4EF, 6516461]
[paragraph, [94.0, 506.0, 271.0, 18.0], YjhHAPRmWN, 6516461]
[folio, [273.0, 535.0, 72.0, 18.0], NkEKyJ8jiD, 6516461]
