[2000, 1414]
[headline, [44.0, 95.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 162.5, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 230.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 297.5, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 365.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 432.5, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 500.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 567.5, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 635.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 702.5, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 770.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 837.5, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 905.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 972.5, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 1040.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 1107.5, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 1175.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 1242.5, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 1310.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 1377.5, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[headline, [44.0, 1445.0, 615.0, 67.5], Aqf5WyrXG8, 6491853]
[author, [61.0, 1748.0, 270.0, 36.0], CTaWQU16bl, 6491853]
[author, [61.0, 1784.0, 270.0, 36.0], CTaWQU16bl, 6491853]
