[2339, 1653]
[paragraph, [326.0, 163.0, 1140.0, 36.0], shoonya_2s45ZUPPDVHI75, 5734424]
[paragraph, [326.0, 199.0, 1140.0, 36.0], shoonya_2s45ZUPPDVHI75, 5734424]
[paragraph, [326.0, 235.0, 1140.0, 36.0], shoonya_2s45ZUPPDVHI75, 5734424]
[paragraph, [326.0, 271.0, 1140.0, 36.0], shoonya_2s45ZUPPDVHI75, 5734424]
[paragraph, [326.0, 307.0, 1140.0, 36.0], shoonya_2s45ZUPPDVHI75, 5734424]
[paragraph, [326.0, 343.0, 1140.0, 36.0], shoonya_2s45ZUPPDVHI75, 5734424]
[paragraph, [323.0, 393.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 429.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 465.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 501.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 537.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 573.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 609.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 645.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 681.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 717.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 753.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 789.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 825.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 861.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 897.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 933.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 969.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 1005.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 1041.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 1077.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 1113.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [323.0, 1149.0, 1137.0, 36.0], shoonya_1sPDS85ZLE4GK3, 5734424]
[paragraph, [324.0, 1224.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1260.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1296.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1332.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1368.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1404.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1440.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1476.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1512.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1548.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1584.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1620.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1656.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1692.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1728.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1764.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1800.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1836.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1872.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1908.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1944.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 1980.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 2016.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[paragraph, [324.0, 2052.0, 1136.0, 36.0], shoonya_0s1PHNY0RER1OG, 5734424]
[folio, [1271.0, 2159.0, 109.0, 36.0], g7vl7z_JqH, 5734424]
