[2339, 1654]
[folio, [1316.0, 45.0, 240.0, 36.0], 2Pzg2Enn1a, 5750584]
[paragraph, [113.0, 105.0, 555.0, 36.0], yBgzf7d4ao, 5750584]
[paragraph, [113.0, 141.0, 555.0, 36.0], yBgzf7d4ao, 5750584]
[paragraph, [113.0, 157.0, 1452.0, 36.0], SLpo_X-v0R, 5750584]
[paragraph, [113.0, 193.0, 1452.0, 36.0], SLpo_X-v0R, 5750584]
[paragraph, [113.0, 229.0, 1452.0, 36.0], SLpo_X-v0R, 5750584]
[paragraph, [113.0, 265.0, 1452.0, 36.0], SLpo_X-v0R, 5750584]
[paragraph, [113.0, 301.0, 1452.0, 36.0], SLpo_X-v0R, 5750584]
[paragraph, [113.0, 337.0, 1452.0, 36.0], SLpo_X-v0R, 5750584]
[paragraph, [113.0, 373.0, 1452.0, 36.0], SLpo_X-v0R, 5750584]
[paragraph, [113.0, 409.0, 1452.0, 36.0], SLpo_X-v0R, 5750584]
[paragraph, [250.0, 443.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 479.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 515.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 551.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 587.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 623.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 659.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 695.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 731.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 767.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 803.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 839.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 875.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 911.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 947.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 983.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1019.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1055.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1091.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1127.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1163.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1199.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1235.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1271.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1307.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1343.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1379.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1415.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1451.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1487.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1523.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1559.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1595.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [250.0, 1631.0, 1206.0, 36.0], 8hovJJKflV, 5750584]
[paragraph, [143.0, 1721.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 1757.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 1793.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 1829.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 1865.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 1901.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 1937.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 1973.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 2009.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 2045.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 2081.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 2117.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 2153.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
[paragraph, [143.0, 2189.0, 1441.0, 36.0], shoonya_0sR9O9M2UHVHTH, 5750584]
