[1725, 1313]
[headline, [312.0, 165.0, 703.0, 37.5], shoonya_0sF74FTAHXGRON, 5772062]
[headline, [312.0, 202.5, 703.0, 37.5], shoonya_0sF74FTAHXGRON, 5772062]
[headline, [312.0, 240.0, 703.0, 37.5], shoonya_0sF74FTAHXGRON, 5772062]
[headline, [312.0, 277.5, 703.0, 37.5], shoonya_0sF74FTAHXGRON, 5772062]
[headline, [312.0, 315.0, 703.0, 37.5], shoonya_0sF74FTAHXGRON, 5772062]
[headline, [312.0, 352.5, 703.0, 37.5], shoonya_0sF74FTAHXGRON, 5772062]
[section-title, [116.0, 422.0, 535.0, 49.5], shoonya_2sLEPE9V9IM0KG, 5772062]
[paragraph, [661.0, 433.0, 535.0, 36.0], shoonya_5sZKBS3EN1EHET, 5772062]
[paragraph, [661.0, 469.0, 535.0, 36.0], shoonya_5sZKBS3EN1EHET, 5772062]
[paragraph, [114.0, 470.0, 538.0, 36.0], R7icM2jKoH, 5772062]
[paragraph, [114.0, 506.0, 538.0, 36.0], R7icM2jKoH, 5772062]
[paragraph, [114.0, 542.0, 538.0, 36.0], R7icM2jKoH, 5772062]
[paragraph, [114.0, 578.0, 538.0, 36.0], R7icM2jKoH, 5772062]
[paragraph, [114.0, 614.0, 538.0, 36.0], R7icM2jKoH, 5772062]
[paragraph, [114.0, 650.0, 538.0, 36.0], R7icM2jKoH, 5772062]
[paragraph, [114.0, 686.0, 538.0, 36.0], R7icM2jKoH, 5772062]
[paragraph, [114.0, 722.0, 538.0, 36.0], R7icM2jKoH, 5772062]
[paragraph, [114.0, 758.0, 538.0, 36.0], R7icM2jKoH, 5772062]
[section-title, [677.0, 532.0, 500.0, 49.5], shoonya_6s9EC3MP75ZXOK, 5772062]
[paragraph, [661.0, 583.0, 540.0, 36.0], shoonya_4sINJ4LFF19D9P, 5772062]
[paragraph, [661.0, 619.0, 540.0, 36.0], shoonya_4sINJ4LFF19D9P, 5772062]
[paragraph, [661.0, 655.0, 540.0, 36.0], shoonya_4sINJ4LFF19D9P, 5772062]
[paragraph, [661.0, 691.0, 540.0, 36.0], shoonya_4sINJ4LFF19D9P, 5772062]
[paragraph, [661.0, 727.0, 540.0, 36.0], shoonya_4sINJ4LFF19D9P, 5772062]
[paragraph, [661.0, 763.0, 540.0, 36.0], shoonya_4sINJ4LFF19D9P, 5772062]
