[1257, 840]
[paragraph, [36.0, 30.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 48.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 66.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 84.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 102.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 120.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 138.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 156.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 174.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 192.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 210.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 228.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 246.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 264.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 282.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 300.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 318.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 336.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 354.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 372.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 390.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 408.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 426.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 444.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 462.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 480.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 498.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 516.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 534.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 552.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 570.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 588.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 606.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 624.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 642.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 660.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 678.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 696.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [36.0, 714.0, 775.0, 18.0], shoonya_1sTOUFXY55W8NW, 5750970]
[paragraph, [30.0, 732.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 750.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 768.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 786.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 804.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 822.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 840.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 858.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 876.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 894.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 912.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 930.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 948.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 966.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 984.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 1002.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 1020.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 1038.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 1056.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 1074.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 1092.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
[paragraph, [30.0, 1110.0, 776.0, 18.0], shoonya_0sYVTFKVBEZZQ3, 5750970]
