[2339, 1654]
[folio, [1314.0, 53.0, 250.0, 36.0], JKlpa3Choh, 5750485]
[paragraph, [117.0, 105.0, 1453.0, 36.0], d54WAhLCDv, 5750485]
[paragraph, [117.0, 141.0, 1453.0, 36.0], d54WAhLCDv, 5750485]
[paragraph, [117.0, 177.0, 1453.0, 36.0], d54WAhLCDv, 5750485]
[paragraph, [117.0, 213.0, 1453.0, 36.0], d54WAhLCDv, 5750485]
[paragraph, [117.0, 249.0, 1453.0, 36.0], d54WAhLCDv, 5750485]
[paragraph, [117.0, 285.0, 1453.0, 36.0], d54WAhLCDv, 5750485]
[paragraph, [117.0, 321.0, 1453.0, 36.0], d54WAhLCDv, 5750485]
[paragraph, [117.0, 357.0, 1453.0, 36.0], d54WAhLCDv, 5750485]
[paragraph, [117.0, 393.0, 1453.0, 36.0], d54WAhLCDv, 5750485]
[paragraph, [117.0, 429.0, 1453.0, 36.0], d54WAhLCDv, 5750485]
[paragraph, [105.0, 487.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 523.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 559.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 595.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 631.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 667.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 703.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 739.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 775.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 811.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 847.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 883.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 919.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 955.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 991.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1027.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1063.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1099.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1135.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1171.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1207.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1243.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1279.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1315.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1351.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1387.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1423.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1459.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1495.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [105.0, 1531.0, 1479.0, 36.0], shoonya_1sZIDZZARSTSVA, 5750485]
[paragraph, [122.0, 1579.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1615.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1651.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1687.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1723.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1759.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1795.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1831.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1867.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1903.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1939.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 1975.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 2011.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 2047.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 2083.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 2119.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 2155.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
[paragraph, [122.0, 2191.0, 1443.0, 36.0], shoonya_0sKXVVTDE7FZMU, 5750485]
