[2200, 1700]
[paragraph, [305.0, 66.0, 1088.0, 36.0], shoonya_3sQKFHTY72WQVD, 5731076]
[paragraph, [305.0, 102.0, 1088.0, 36.0], shoonya_3sQKFHTY72WQVD, 5731076]
[paragraph, [305.0, 138.0, 1088.0, 36.0], shoonya_3sQKFHTY72WQVD, 5731076]
[paragraph, [305.0, 174.0, 1088.0, 36.0], shoonya_3sQKFHTY72WQVD, 5731076]
[paragraph, [305.0, 210.0, 1088.0, 36.0], shoonya_3sQKFHTY72WQVD, 5731076]
[section-title, [304.0, 262.0, 596.0, 52.5], shoonya_1s3F56W0SXUBQU, 5731076]
[paragraph, [485.0, 341.0, 729.0, 36.0], shoonya_2sHYX8O1VTE9QG, 5731076]
[paragraph, [517.0, 401.0, 702.0, 36.0], Fgnvmwa6X0, 5731076]
[paragraph, [517.0, 437.0, 702.0, 36.0], Fgnvmwa6X0, 5731076]
[paragraph, [517.0, 473.0, 702.0, 36.0], Fgnvmwa6X0, 5731076]
[paragraph, [291.0, 527.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 563.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 599.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 635.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 671.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 707.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 743.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 779.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 815.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 851.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 887.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 923.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 959.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 995.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1031.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1067.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1103.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1139.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1175.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1211.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1247.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1283.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1319.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1355.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1391.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1427.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1463.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1499.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1535.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1571.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1607.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1643.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1679.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1715.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1751.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1787.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1823.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1859.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[paragraph, [291.0, 1895.0, 1099.0, 36.0], shoonya_0sKKUJ4RRP2PTD, 5731076]
[folio, [736.0, 2000.0, 519.0, 36.0], 0GRzluCvrN, 5731076]
