[3509, 2482]
[folio, [887.0, 214.0, 490.0, 52.5], LozE8Aqej9, 5691556]
[folio, [887.0, 266.5, 490.0, 52.5], LozE8Aqej9, 5691556]
[paragraph, [214.0, 331.0, 1097.0, 52.5], JLnsoQVLef, 5691556]
[paragraph, [250.0, 431.0, 1325.0, 52.5], CVCAqbkJL9, 5691556]
[paragraph, [268.0, 516.0, 360.0, 52.5], Oph34Usf3r, 5691556]
[paragraph, [287.0, 586.0, 968.0, 52.5], sCJR4H0f_t, 5691556]
[paragraph, [176.0, 667.0, 1874.0, 52.5], oziiQOoaiB, 5691556]
[paragraph, [176.0, 719.5, 1874.0, 52.5], oziiQOoaiB, 5691556]
[paragraph, [176.0, 772.0, 1874.0, 52.5], oziiQOoaiB, 5691556]
[paragraph, [176.0, 824.5, 1874.0, 52.5], oziiQOoaiB, 5691556]
[paragraph, [282.0, 890.0, 554.0, 52.5], 1pFVyIZSbP, 5691556]
[paragraph, [206.0, 991.0, 603.0, 52.5], _6gbMD1-7f, 5691556]
[paragraph, [189.0, 1056.0, 1852.0, 52.5], g6-vkb7_0M, 5691556]
[paragraph, [189.0, 1108.5, 1852.0, 52.5], g6-vkb7_0M, 5691556]
[paragraph, [189.0, 1161.0, 1852.0, 52.5], g6-vkb7_0M, 5691556]
[paragraph, [145.0, 1216.0, 1898.0, 52.5], AyOQkb7PPa, 5691556]
[paragraph, [145.0, 1268.5, 1898.0, 52.5], AyOQkb7PPa, 5691556]
[paragraph, [145.0, 1321.0, 1898.0, 52.5], AyOQkb7PPa, 5691556]
[paragraph, [170.0, 1374.0, 1855.0, 52.5], _W6e9fTomf, 5691556]
[paragraph, [170.0, 1426.5, 1855.0, 52.5], _W6e9fTomf, 5691556]
[paragraph, [170.0, 1479.0, 1855.0, 52.5], _W6e9fTomf, 5691556]
[paragraph, [198.0, 1532.0, 1818.0, 52.5], S_G3xy4VhC, 5691556]
[paragraph, [198.0, 1584.5, 1818.0, 52.5], S_G3xy4VhC, 5691556]
[paragraph, [198.0, 1637.0, 1818.0, 52.5], S_G3xy4VhC, 5691556]
[paragraph, [217.0, 1684.0, 1135.0, 52.5], hWqbGb2ODO, 5691556]
[paragraph, [217.0, 1736.5, 1135.0, 52.5], hWqbGb2ODO, 5691556]
[paragraph, [217.0, 1789.0, 1135.0, 52.5], hWqbGb2ODO, 5691556]
[paragraph, [164.0, 1836.0, 1895.0, 52.5], JAROV6g95Y, 5691556]
[paragraph, [164.0, 1888.5, 1895.0, 52.5], JAROV6g95Y, 5691556]
[paragraph, [164.0, 1941.0, 1895.0, 52.5], JAROV6g95Y, 5691556]
[paragraph, [164.0, 1993.5, 1895.0, 52.5], JAROV6g95Y, 5691556]
[paragraph, [201.0, 2072.0, 1864.0, 52.5], fgYcjyzbgM, 5691556]
[paragraph, [201.0, 2124.5, 1864.0, 52.5], fgYcjyzbgM, 5691556]
[paragraph, [201.0, 2177.0, 1864.0, 52.5], fgYcjyzbgM, 5691556]
[paragraph, [195.0, 2230.0, 1852.0, 52.5], SwJ3xLAbQM, 5691556]
[paragraph, [195.0, 2282.5, 1852.0, 52.5], SwJ3xLAbQM, 5691556]
[paragraph, [195.0, 2335.0, 1852.0, 52.5], SwJ3xLAbQM, 5691556]
[paragraph, [313.0, 2472.0, 390.0, 52.5], r8tVDElM7T, 5691556]
[paragraph, [285.0, 2547.0, 853.0, 52.5], -wpkeFC85K, 5691556]
[paragraph, [300.0, 2621.0, 1693.0, 52.5], moEPKnixO9, 5691556]
[paragraph, [300.0, 2673.5, 1693.0, 52.5], moEPKnixO9, 5691556]
[paragraph, [297.0, 2776.0, 943.0, 52.5], -bfGPUSEbg, 5691556]
[paragraph, [276.0, 2854.0, 1287.0, 52.5], F1siHBwOGW, 5691556]
[paragraph, [220.0, 2938.0, 1793.0, 52.5], MnUOpBFHoG, 5691556]
[paragraph, [220.0, 2990.5, 1793.0, 52.5], MnUOpBFHoG, 5691556]
[paragraph, [220.0, 3043.0, 1793.0, 52.5], MnUOpBFHoG, 5691556]
[paragraph, [254.0, 3097.0, 1135.0, 52.5], gNegCYEeSd, 5691556]
[paragraph, [300.0, 3170.0, 620.0, 52.5], lbfgQh2R0d, 5691556]
[paragraph, [307.0, 3249.0, 490.0, 52.5], 5F7o3XpKgK, 5691556]
