[1347, 847]
[paragraph, [42.0, 30.0, 770.0, 18.0], shoonya_0sDYSK80YLDF2A, 5660473]
[paragraph, [42.0, 48.0, 770.0, 18.0], shoonya_0sDYSK80YLDF2A, 5660473]
[paragraph, [42.0, 66.0, 770.0, 18.0], shoonya_0sDYSK80YLDF2A, 5660473]
[paragraph, [42.0, 84.0, 770.0, 18.0], shoonya_0sDYSK80YLDF2A, 5660473]
[paragraph, [42.0, 102.0, 770.0, 18.0], shoonya_0sDYSK80YLDF2A, 5660473]
[paragraph, [42.0, 120.0, 770.0, 18.0], shoonya_0sDYSK80YLDF2A, 5660473]
[paragraph, [42.0, 138.0, 770.0, 18.0], shoonya_0sDYSK80YLDF2A, 5660473]
[paragraph, [42.0, 156.0, 770.0, 18.0], shoonya_0sDYSK80YLDF2A, 5660473]
[paragraph, [42.0, 174.0, 770.0, 18.0], shoonya_0sDYSK80YLDF2A, 5660473]
[paragraph, [42.0, 192.0, 770.0, 18.0], shoonya_0sDYSK80YLDF2A, 5660473]
[paragraph, [41.0, 220.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 238.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 256.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 274.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 292.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 310.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 328.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 346.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 364.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 382.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 400.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 418.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 436.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 454.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 472.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 490.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 508.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 526.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 544.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 562.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 580.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 598.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 616.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 634.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 652.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 670.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 688.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 706.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 724.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 742.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 760.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 778.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 796.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 814.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [41.0, 832.0, 763.0, 18.0], c6Tv2EjGCB, 5660473]
[paragraph, [40.0, 870.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 888.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 906.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 924.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 942.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 960.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 978.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 996.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 1014.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 1032.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 1050.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 1068.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 1086.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [40.0, 1104.0, 764.0, 18.0], QmYbYZUg9z, 5660473]
[paragraph, [45.0, 1123.0, 753.0, 18.0], DIhY8Uu7PJ, 5660473]
[paragraph, [45.0, 1141.0, 753.0, 18.0], DIhY8Uu7PJ, 5660473]
[paragraph, [45.0, 1159.0, 753.0, 18.0], DIhY8Uu7PJ, 5660473]
[paragraph, [45.0, 1177.0, 753.0, 18.0], DIhY8Uu7PJ, 5660473]
[folio, [45.0, 1214.0, 217.0, 18.0], qHRBWFrKc2, 5660473]
[footnote, [7.0, 1257.0, 830.0, 18.0], bewkmH0ORv, 5660473]
[footnote, [7.0, 1275.0, 830.0, 18.0], bewkmH0ORv, 5660473]
[footnote, [7.0, 1293.0, 830.0, 18.0], bewkmH0ORv, 5660473]
[footnote, [7.0, 1311.0, 830.0, 18.0], bewkmH0ORv, 5660473]
[website-link, [475.0, 1304.0, 216.0, 18.0], -a0WiNevIe, 5660473]
[website-link, [151.0, 1305.0, 230.0, 18.0], XdzZNtLezS, 5660473]
