[1818, 1374]
[paragraph, [111.0, 178.0, 563.0, 36.0], CQhG7dOx3p, 5681965]
[paragraph, [111.0, 214.0, 563.0, 36.0], CQhG7dOx3p, 5681965]
[paragraph, [111.0, 250.0, 563.0, 36.0], CQhG7dOx3p, 5681965]
[paragraph, [693.0, 180.0, 570.0, 36.0], 1dX4zNzv-p, 5681965]
[paragraph, [693.0, 216.0, 570.0, 36.0], 1dX4zNzv-p, 5681965]
[paragraph, [693.0, 252.0, 570.0, 36.0], 1dX4zNzv-p, 5681965]
[paragraph, [693.0, 288.0, 570.0, 36.0], 1dX4zNzv-p, 5681965]
[paragraph, [693.0, 324.0, 570.0, 36.0], 1dX4zNzv-p, 5681965]
[paragraph, [693.0, 360.0, 570.0, 36.0], 1dX4zNzv-p, 5681965]
[paragraph, [693.0, 396.0, 570.0, 36.0], 1dX4zNzv-p, 5681965]
[paragraph, [693.0, 432.0, 570.0, 36.0], 1dX4zNzv-p, 5681965]
[paragraph, [693.0, 468.0, 570.0, 36.0], 1dX4zNzv-p, 5681965]
[paragraph, [116.0, 310.0, 559.0, 36.0], odUaO7rebm, 5681965]
[paragraph, [116.0, 346.0, 559.0, 36.0], odUaO7rebm, 5681965]
[paragraph, [111.0, 393.0, 563.0, 36.0], oAJM9SvqkS, 5681965]
[paragraph, [111.0, 429.0, 563.0, 36.0], oAJM9SvqkS, 5681965]
[paragraph, [111.0, 477.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 513.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 549.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 585.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 621.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 657.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 693.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 729.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 765.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 801.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 837.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 873.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 909.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 945.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 981.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [111.0, 1017.0, 565.0, 36.0], Z5nsxWjw2M, 5681965]
[paragraph, [695.0, 525.0, 565.0, 36.0], SeYyukwk6t, 5681965]
[paragraph, [695.0, 561.0, 565.0, 36.0], SeYyukwk6t, 5681965]
[paragraph, [695.0, 597.0, 565.0, 36.0], SeYyukwk6t, 5681965]
[paragraph, [695.0, 652.0, 568.0, 36.0], C01OwHfDz4, 5681965]
[paragraph, [695.0, 688.0, 568.0, 36.0], C01OwHfDz4, 5681965]
[paragraph, [695.0, 724.0, 568.0, 36.0], C01OwHfDz4, 5681965]
[paragraph, [695.0, 760.0, 568.0, 36.0], C01OwHfDz4, 5681965]
[paragraph, [695.0, 796.0, 568.0, 36.0], C01OwHfDz4, 5681965]
[paragraph, [695.0, 832.0, 568.0, 36.0], C01OwHfDz4, 5681965]
[paragraph, [692.0, 951.0, 566.0, 36.0], 2TtO5360Dy, 5681965]
[paragraph, [692.0, 987.0, 566.0, 36.0], 2TtO5360Dy, 5681965]
[paragraph, [692.0, 1023.0, 566.0, 36.0], 2TtO5360Dy, 5681965]
[paragraph, [113.0, 1072.0, 559.0, 36.0], WZKvm_HGqc, 5681965]
[paragraph, [113.0, 1108.0, 559.0, 36.0], WZKvm_HGqc, 5681965]
[paragraph, [113.0, 1144.0, 559.0, 36.0], WZKvm_HGqc, 5681965]
[paragraph, [692.0, 1076.0, 566.0, 36.0], 9HWGnRTq2W, 5681965]
[paragraph, [692.0, 1112.0, 566.0, 36.0], 9HWGnRTq2W, 5681965]
[paragraph, [731.0, 1162.0, 400.0, 36.0], 2K7XLZP_Qd, 5681965]
[paragraph, [106.0, 1199.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1235.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1271.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1307.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1343.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1379.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1415.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1451.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1487.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1523.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1559.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1595.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1631.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [106.0, 1667.0, 568.0, 36.0], uppqj_kliH, 5681965]
[paragraph, [690.0, 1205.0, 565.0, 36.0], qEe4kAYK6D, 5681965]
[paragraph, [690.0, 1241.0, 565.0, 36.0], qEe4kAYK6D, 5681965]
[paragraph, [735.0, 1285.0, 424.0, 36.0], 3tFPyv5anl, 5681965]
[paragraph, [688.0, 1330.0, 568.0, 36.0], YIKNbqvxth, 5681965]
[paragraph, [688.0, 1366.0, 568.0, 36.0], YIKNbqvxth, 5681965]
[paragraph, [687.0, 1416.0, 575.0, 36.0], yfUhu2Z0L5, 5681965]
[paragraph, [687.0, 1452.0, 575.0, 36.0], yfUhu2Z0L5, 5681965]
[paragraph, [687.0, 1488.0, 575.0, 36.0], yfUhu2Z0L5, 5681965]
[paragraph, [688.0, 1545.0, 571.0, 36.0], JQ7AvQXcHj, 5681965]
[paragraph, [688.0, 1581.0, 571.0, 36.0], JQ7AvQXcHj, 5681965]
[paragraph, [688.0, 1617.0, 571.0, 36.0], JQ7AvQXcHj, 5681965]
[paragraph, [688.0, 1653.0, 571.0, 36.0], JQ7AvQXcHj, 5681965]
