[2428, 1814]
[quote, [61.0, 604.0, 256.0, 36.0], v9F2xhwb88, 5694266]
[quote, [61.0, 640.0, 256.0, 36.0], v9F2xhwb88, 5694266]
[quote, [61.0, 676.0, 256.0, 36.0], v9F2xhwb88, 5694266]
[quote, [61.0, 712.0, 256.0, 36.0], v9F2xhwb88, 5694266]
[quote, [61.0, 748.0, 256.0, 36.0], v9F2xhwb88, 5694266]
[quote, [61.0, 784.0, 256.0, 36.0], v9F2xhwb88, 5694266]
[quote, [1110.0, 633.0, 469.0, 36.0], XOBdcie7Jh, 5694266]
[quote, [1110.0, 669.0, 469.0, 36.0], XOBdcie7Jh, 5694266]
[quote, [1110.0, 705.0, 469.0, 36.0], XOBdcie7Jh, 5694266]
[quote, [1110.0, 741.0, 469.0, 36.0], XOBdcie7Jh, 5694266]
[quote, [1110.0, 777.0, 469.0, 36.0], XOBdcie7Jh, 5694266]
[quote, [1110.0, 813.0, 469.0, 36.0], XOBdcie7Jh, 5694266]
[quote, [1110.0, 849.0, 469.0, 36.0], XOBdcie7Jh, 5694266]
[quote, [1110.0, 885.0, 469.0, 36.0], XOBdcie7Jh, 5694266]
[quote, [1110.0, 921.0, 469.0, 36.0], XOBdcie7Jh, 5694266]
[quote, [653.0, 1426.0, 342.0, 36.0], nAikswpn53, 5694266]
[quote, [653.0, 1462.0, 342.0, 36.0], nAikswpn53, 5694266]
[quote, [653.0, 1498.0, 342.0, 36.0], nAikswpn53, 5694266]
[quote, [653.0, 1534.0, 342.0, 36.0], nAikswpn53, 5694266]
[quote, [653.0, 1570.0, 342.0, 36.0], nAikswpn53, 5694266]
[quote, [1055.0, 1508.0, 197.0, 36.0], TlNNiqiz80, 5694266]
[quote, [1055.0, 1544.0, 197.0, 36.0], TlNNiqiz80, 5694266]
[quote, [1055.0, 1580.0, 197.0, 36.0], TlNNiqiz80, 5694266]
[folio, [539.0, 2282.0, 615.0, 36.0], eUg5TXq9_r, 5694266]
