[3509, 2482]
[folio, [841.0, 210.0, 507.0, 52.5], shoonya_0sHHTDFQ2QRMHR, 5691524]
[folio, [841.0, 262.5, 507.0, 52.5], shoonya_0sHHTDFQ2QRMHR, 5691524]
[paragraph, [190.0, 334.0, 1818.0, 52.5], CGQ67PC4BE, 5691524]
[paragraph, [190.0, 386.5, 1818.0, 52.5], CGQ67PC4BE, 5691524]
[paragraph, [190.0, 439.0, 1818.0, 52.5], CGQ67PC4BE, 5691524]
[paragraph, [245.0, 503.0, 749.0, 52.5], SBTq4I4oRe, 5691524]
[paragraph, [261.0, 589.0, 287.0, 52.5], QUVlyg0ecq, 5691524]
[paragraph, [279.0, 663.0, 416.0, 52.5], S9ETjkjmKV, 5691524]
[paragraph, [235.0, 729.0, 1763.0, 52.5], PgUQRIf6lD, 5691524]
[paragraph, [235.0, 781.5, 1763.0, 52.5], PgUQRIf6lD, 5691524]
[paragraph, [187.0, 888.0, 1805.0, 52.5], Q8JqLe5L7g, 5691524]
[paragraph, [187.0, 940.5, 1805.0, 52.5], Q8JqLe5L7g, 5691524]
[paragraph, [180.0, 1050.0, 1141.0, 52.5], 5AY_g6IBib, 5691524]
[paragraph, [187.0, 1124.0, 1809.0, 52.5], Z2M_UImdp1, 5691524]
[paragraph, [187.0, 1176.5, 1809.0, 52.5], Z2M_UImdp1, 5691524]
[paragraph, [187.0, 1229.0, 1809.0, 52.5], Z2M_UImdp1, 5691524]
[paragraph, [187.0, 1281.5, 1809.0, 52.5], Z2M_UImdp1, 5691524]
[paragraph, [187.0, 1334.0, 1809.0, 52.5], Z2M_UImdp1, 5691524]
[paragraph, [187.0, 1386.5, 1809.0, 52.5], Z2M_UImdp1, 5691524]
[paragraph, [190.0, 1439.0, 1812.0, 52.5], hbkHfrl64b, 5691524]
[paragraph, [190.0, 1491.5, 1812.0, 52.5], hbkHfrl64b, 5691524]
[paragraph, [190.0, 1544.0, 1812.0, 52.5], hbkHfrl64b, 5691524]
[paragraph, [190.0, 1596.5, 1812.0, 52.5], hbkHfrl64b, 5691524]
[paragraph, [190.0, 1649.0, 1812.0, 52.5], hbkHfrl64b, 5691524]
[paragraph, [190.0, 1701.5, 1812.0, 52.5], hbkHfrl64b, 5691524]
[paragraph, [190.0, 1754.0, 1812.0, 52.5], hbkHfrl64b, 5691524]
[paragraph, [197.0, 1824.0, 1809.0, 52.5], 3Ebg0uZ4Ev, 5691524]
[paragraph, [197.0, 1876.5, 1809.0, 52.5], 3Ebg0uZ4Ev, 5691524]
[paragraph, [197.0, 1929.0, 1809.0, 52.5], 3Ebg0uZ4Ev, 5691524]
[paragraph, [197.0, 1981.5, 1809.0, 52.5], 3Ebg0uZ4Ev, 5691524]
[paragraph, [197.0, 2034.0, 1809.0, 52.5], 3Ebg0uZ4Ev, 5691524]
[paragraph, [197.0, 2086.5, 1809.0, 52.5], 3Ebg0uZ4Ev, 5691524]
[paragraph, [259.0, 2144.0, 1158.0, 52.5], BFHVcu1SMJ, 5691524]
[paragraph, [194.0, 2222.0, 1821.0, 52.5], vd9UOdqio1, 5691524]
[paragraph, [194.0, 2274.5, 1821.0, 52.5], vd9UOdqio1, 5691524]
[paragraph, [194.0, 2327.0, 1821.0, 52.5], vd9UOdqio1, 5691524]
[paragraph, [187.0, 2382.0, 1840.0, 52.5], HvYrTRuZi5, 5691524]
[paragraph, [187.0, 2434.5, 1840.0, 52.5], HvYrTRuZi5, 5691524]
[paragraph, [187.0, 2487.0, 1840.0, 52.5], HvYrTRuZi5, 5691524]
[paragraph, [256.0, 2535.0, 532.0, 52.5], FcAxlMV5kH, 5691524]
[paragraph, [190.0, 2610.0, 1830.0, 52.5], UHkg_YUTde, 5691524]
[paragraph, [190.0, 2662.5, 1830.0, 52.5], UHkg_YUTde, 5691524]
[paragraph, [190.0, 2715.0, 1830.0, 52.5], UHkg_YUTde, 5691524]
[paragraph, [190.0, 2767.5, 1830.0, 52.5], UHkg_YUTde, 5691524]
[paragraph, [187.0, 2848.0, 1849.0, 52.5], A3tgspYL7A, 5691524]
[paragraph, [187.0, 2900.5, 1849.0, 52.5], A3tgspYL7A, 5691524]
[paragraph, [187.0, 2953.0, 1849.0, 52.5], A3tgspYL7A, 5691524]
[paragraph, [187.0, 3005.5, 1849.0, 52.5], A3tgspYL7A, 5691524]
[paragraph, [187.0, 3058.0, 1849.0, 52.5], A3tgspYL7A, 5691524]
[paragraph, [187.0, 3110.5, 1849.0, 52.5], A3tgspYL7A, 5691524]
[paragraph, [187.0, 3163.0, 1849.0, 52.5], A3tgspYL7A, 5691524]
[paragraph, [291.0, 3242.0, 1270.0, 52.5], ER2kQW4BJW, 5691524]
