[1292, 890]
[paragraph, [180.0, 106.0, 626.0, 18.0], shoonya_5s6XN09GQ6T0SR, 5776515]
[paragraph, [180.0, 124.0, 626.0, 18.0], shoonya_5s6XN09GQ6T0SR, 5776515]
[paragraph, [180.0, 142.0, 626.0, 18.0], shoonya_5s6XN09GQ6T0SR, 5776515]
[paragraph, [180.0, 160.0, 626.0, 18.0], shoonya_5s6XN09GQ6T0SR, 5776515]
[paragraph, [180.0, 178.0, 626.0, 18.0], shoonya_5s6XN09GQ6T0SR, 5776515]
[paragraph, [180.0, 196.0, 626.0, 18.0], shoonya_5s6XN09GQ6T0SR, 5776515]
[paragraph, [180.0, 214.0, 626.0, 18.0], shoonya_5s6XN09GQ6T0SR, 5776515]
[paragraph, [180.0, 232.0, 626.0, 18.0], shoonya_5s6XN09GQ6T0SR, 5776515]
[paragraph, [181.0, 259.0, 623.0, 18.0], shoonya_6sBBYW653NAY88, 5776515]
[paragraph, [181.0, 277.0, 623.0, 18.0], shoonya_6sBBYW653NAY88, 5776515]
[paragraph, [181.0, 295.0, 623.0, 18.0], shoonya_6sBBYW653NAY88, 5776515]
[paragraph, [181.0, 313.0, 623.0, 18.0], shoonya_6sBBYW653NAY88, 5776515]
[paragraph, [181.0, 331.0, 623.0, 18.0], shoonya_6sBBYW653NAY88, 5776515]
[paragraph, [180.0, 357.0, 628.0, 18.0], shoonya_2sVQRIWSBUBLJN, 5776515]
[paragraph, [180.0, 375.0, 628.0, 18.0], shoonya_2sVQRIWSBUBLJN, 5776515]
[paragraph, [180.0, 393.0, 628.0, 18.0], shoonya_2sVQRIWSBUBLJN, 5776515]
[paragraph, [180.0, 411.0, 628.0, 18.0], shoonya_2sVQRIWSBUBLJN, 5776515]
[paragraph, [180.0, 429.0, 628.0, 18.0], shoonya_2sVQRIWSBUBLJN, 5776515]
[paragraph, [180.0, 447.0, 628.0, 18.0], shoonya_2sVQRIWSBUBLJN, 5776515]
[paragraph, [180.0, 465.0, 628.0, 18.0], shoonya_2sVQRIWSBUBLJN, 5776515]
[paragraph, [180.0, 483.0, 628.0, 18.0], shoonya_2sVQRIWSBUBLJN, 5776515]
[paragraph, [182.0, 509.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 527.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 545.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 563.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 581.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 599.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 617.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 635.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 653.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 671.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 689.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [182.0, 707.0, 626.0, 18.0], shoonya_0sRFZ93GV99ZNM, 5776515]
[paragraph, [184.0, 735.0, 625.0, 18.0], shoonya_4sZ83S93U97RS1, 5776515]
[paragraph, [184.0, 753.0, 625.0, 18.0], shoonya_4sZ83S93U97RS1, 5776515]
[paragraph, [185.0, 786.0, 624.0, 18.0], shoonya_3sU8RY02MZWII7, 5776515]
[paragraph, [185.0, 804.0, 624.0, 18.0], shoonya_3sU8RY02MZWII7, 5776515]
[paragraph, [185.0, 822.0, 624.0, 18.0], shoonya_3sU8RY02MZWII7, 5776515]
[paragraph, [185.0, 840.0, 624.0, 18.0], shoonya_3sU8RY02MZWII7, 5776515]
[paragraph, [185.0, 858.0, 624.0, 18.0], shoonya_3sU8RY02MZWII7, 5776515]
[paragraph, [185.0, 876.0, 624.0, 18.0], shoonya_3sU8RY02MZWII7, 5776515]
[paragraph, [185.0, 894.0, 624.0, 18.0], shoonya_3sU8RY02MZWII7, 5776515]
[paragraph, [185.0, 912.0, 624.0, 18.0], shoonya_3sU8RY02MZWII7, 5776515]
[paragraph, [185.0, 933.0, 625.0, 18.0], shoonya_1sZJJ7F7K7UOZI, 5776515]
[paragraph, [185.0, 951.0, 625.0, 18.0], shoonya_1sZJJ7F7K7UOZI, 5776515]
[paragraph, [185.0, 969.0, 625.0, 18.0], shoonya_1sZJJ7F7K7UOZI, 5776515]
[paragraph, [185.0, 987.0, 625.0, 18.0], shoonya_1sZJJ7F7K7UOZI, 5776515]
[paragraph, [185.0, 1005.0, 625.0, 18.0], shoonya_1sZJJ7F7K7UOZI, 5776515]
[paragraph, [185.0, 1023.0, 625.0, 18.0], shoonya_1sZJJ7F7K7UOZI, 5776515]
[paragraph, [185.0, 1041.0, 625.0, 18.0], shoonya_1sZJJ7F7K7UOZI, 5776515]
[paragraph, [185.0, 1059.0, 625.0, 18.0], shoonya_1sZJJ7F7K7UOZI, 5776515]
[paragraph, [185.0, 1077.0, 625.0, 18.0], shoonya_1sZJJ7F7K7UOZI, 5776515]
