[1951, 1219]
[folio, [218.0, 114.0, 206.0, 36.0], 7JlJ3a1pw3, 5682549]
[folio, [218.0, 150.0, 206.0, 36.0], 7JlJ3a1pw3, 5682549]
[paragraph, [126.0, 212.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 248.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 284.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 320.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 356.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 392.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 428.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 464.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 500.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 536.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 572.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 608.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 644.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 680.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [126.0, 716.0, 970.0, 36.0], M19jNtq9Js, 5682549]
[paragraph, [122.0, 794.0, 976.0, 36.0], FanzBblv-X, 5682549]
[paragraph, [122.0, 830.0, 976.0, 36.0], FanzBblv-X, 5682549]
[paragraph, [122.0, 866.0, 976.0, 36.0], FanzBblv-X, 5682549]
[paragraph, [122.0, 902.0, 976.0, 36.0], FanzBblv-X, 5682549]
[paragraph, [124.0, 970.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1006.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1042.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1078.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1114.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1150.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1186.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1222.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1258.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1294.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1330.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1366.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1402.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1438.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1474.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1510.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1546.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1582.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [124.0, 1618.0, 978.0, 36.0], fj2vZGoUdq, 5682549]
[paragraph, [122.0, 1664.0, 976.0, 36.0], 2SsVgnC5xn, 5682549]
[paragraph, [122.0, 1700.0, 976.0, 36.0], 2SsVgnC5xn, 5682549]
[paragraph, [122.0, 1736.0, 976.0, 36.0], 2SsVgnC5xn, 5682549]
[paragraph, [122.0, 1772.0, 976.0, 36.0], 2SsVgnC5xn, 5682549]
[paragraph, [122.0, 1808.0, 976.0, 36.0], 2SsVgnC5xn, 5682549]
