[1545, 2000]
[headline, [1488.0, 132.0, 364.0, 37.5], ua0vjErHRV, 6490679]
[headline, [1488.0, 169.5, 364.0, 37.5], ua0vjErHRV, 6490679]
[headline, [1488.0, 207.0, 364.0, 37.5], ua0vjErHRV, 6490679]
[headline, [1488.0, 244.5, 364.0, 37.5], ua0vjErHRV, 6490679]
[headline, [1488.0, 282.0, 364.0, 37.5], ua0vjErHRV, 6490679]
[section-title, [724.0, 172.0, 544.0, 49.5], GQUJuHg7K6, 6490679]
[section-title, [724.0, 221.5, 544.0, 49.5], GQUJuHg7K6, 6490679]
[sub-headline, [1498.0, 336.0, 344.0, 36.0], TdJSYWIoTQ, 6490679]
[sub-headline, [1498.0, 372.0, 344.0, 36.0], TdJSYWIoTQ, 6490679]
[paragraph, [699.0, 491.0, 601.0, 36.0], 1RnoTiv5vb, 6490679]
[paragraph, [699.0, 527.0, 601.0, 36.0], 1RnoTiv5vb, 6490679]
[paragraph, [699.0, 563.0, 601.0, 36.0], 1RnoTiv5vb, 6490679]
[paragraph, [699.0, 599.0, 601.0, 36.0], 1RnoTiv5vb, 6490679]
[paragraph, [699.0, 635.0, 601.0, 36.0], 1RnoTiv5vb, 6490679]
[paragraph, [699.0, 671.0, 601.0, 36.0], 1RnoTiv5vb, 6490679]
[section-title, [134.0, 693.0, 359.0, 49.5], UhChZKe5iC, 6490679]
[section-title, [134.0, 742.5, 359.0, 49.5], UhChZKe5iC, 6490679]
[sub-section-title, [74.0, 818.0, 491.0, 36.0], Ni4eEbi5oU, 6490679]
[sub-section-title, [74.0, 854.0, 491.0, 36.0], Ni4eEbi5oU, 6490679]
[paragraph, [39.0, 906.0, 586.0, 36.0], qc8mXRlmTf, 6490679]
[paragraph, [39.0, 942.0, 586.0, 36.0], qc8mXRlmTf, 6490679]
[paragraph, [39.0, 978.0, 586.0, 36.0], qc8mXRlmTf, 6490679]
[paragraph, [39.0, 1014.0, 586.0, 36.0], qc8mXRlmTf, 6490679]
[paragraph, [39.0, 1050.0, 586.0, 36.0], qc8mXRlmTf, 6490679]
[paragraph, [39.0, 1086.0, 586.0, 36.0], qc8mXRlmTf, 6490679]
[contact-info, [1442.0, 1065.0, 422.0, 36.0], ZkEOJqTwhV, 6490679]
[contact-info, [1442.0, 1101.0, 422.0, 36.0], ZkEOJqTwhV, 6490679]
[contact-info, [1442.0, 1137.0, 422.0, 36.0], ZkEOJqTwhV, 6490679]
[contact-info, [1442.0, 1173.0, 422.0, 36.0], ZkEOJqTwhV, 6490679]
[contact-info, [1442.0, 1209.0, 422.0, 36.0], ZkEOJqTwhV, 6490679]
[contact-info, [1442.0, 1245.0, 422.0, 36.0], ZkEOJqTwhV, 6490679]
[contact-info, [1442.0, 1281.0, 422.0, 36.0], ZkEOJqTwhV, 6490679]
[contact-info, [1442.0, 1317.0, 422.0, 36.0], ZkEOJqTwhV, 6490679]
[contact-info, [1442.0, 1353.0, 422.0, 36.0], ZkEOJqTwhV, 6490679]
[contact-info, [1442.0, 1389.0, 422.0, 36.0], ZkEOJqTwhV, 6490679]
[paragraph, [39.0, 1143.0, 584.0, 36.0], Id6TJKFkZx, 6490679]
[paragraph, [39.0, 1179.0, 584.0, 36.0], Id6TJKFkZx, 6490679]
[paragraph, [39.0, 1215.0, 584.0, 36.0], Id6TJKFkZx, 6490679]
[paragraph, [39.0, 1251.0, 584.0, 36.0], Id6TJKFkZx, 6490679]
[paragraph, [39.0, 1287.0, 584.0, 36.0], Id6TJKFkZx, 6490679]
[paragraph, [39.0, 1323.0, 584.0, 36.0], Id6TJKFkZx, 6490679]
[website-link, [1470.0, 1317.0, 344.0, 18.0], WoaGNe4-xE, 6490679]
[website-link, [1470.0, 1335.0, 344.0, 18.0], WoaGNe4-xE, 6490679]
[website-link, [1458.0, 1372.0, 364.0, 18.0], OPKHvRynFo, 6490679]
[website-link, [1458.0, 1390.0, 364.0, 18.0], OPKHvRynFo, 6490679]
[paragraph, [34.0, 1410.0, 603.0, 36.0], 8jxfzdQ5OG, 6490679]
[paragraph, [34.0, 1446.0, 603.0, 36.0], 8jxfzdQ5OG, 6490679]
[paragraph, [34.0, 1482.0, 603.0, 36.0], 8jxfzdQ5OG, 6490679]
