[1267, 753]
[folio, [341.0, 77.0, 81.0, 18.0], shoonya_2sL3RB50KWABIC, 5699568]
[paragraph, [90.0, 116.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 134.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 152.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 170.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 188.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 206.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 224.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 242.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 260.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 278.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 296.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 314.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 332.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 350.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 368.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 386.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 404.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 422.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 440.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 458.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 476.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [90.0, 494.0, 581.0, 18.0], shoonya_1sHA9TCTGH0BN6, 5699568]
[paragraph, [86.0, 534.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 552.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 570.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 588.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 606.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 624.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 642.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 660.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 678.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 696.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 714.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 732.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 750.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 768.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 786.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 804.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 822.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 840.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 858.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 876.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 894.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 912.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 930.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 948.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 966.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 984.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
[paragraph, [86.0, 1002.0, 583.0, 18.0], shoonya_0s4SH56O7T3H5N, 5699568]
