[842, 595]
[paragraph, [148.0, 60.0, 291.0, 18.0], 9FnX26-HSk, 6459927]
[paragraph, [148.0, 78.0, 291.0, 18.0], 9FnX26-HSk, 6459927]
[paragraph, [148.0, 96.0, 291.0, 18.0], 9FnX26-HSk, 6459927]
[paragraph, [148.0, 114.0, 291.0, 18.0], 9FnX26-HSk, 6459927]
[paragraph, [148.0, 132.0, 291.0, 18.0], 9FnX26-HSk, 6459927]
[paragraph, [147.0, 160.0, 297.0, 18.0], sTIvvaJ-W8, 6459927]
[paragraph, [147.0, 178.0, 297.0, 18.0], sTIvvaJ-W8, 6459927]
[paragraph, [147.0, 196.0, 297.0, 18.0], sTIvvaJ-W8, 6459927]
[paragraph, [147.0, 214.0, 297.0, 18.0], sTIvvaJ-W8, 6459927]
[paragraph, [147.0, 232.0, 297.0, 18.0], sTIvvaJ-W8, 6459927]
[paragraph, [145.0, 257.0, 277.0, 18.0], DjhT3Ol8Gt, 6459927]
[paragraph, [145.0, 275.0, 277.0, 18.0], DjhT3Ol8Gt, 6459927]
[paragraph, [145.0, 293.0, 277.0, 18.0], DjhT3Ol8Gt, 6459927]
[paragraph, [145.0, 311.0, 277.0, 18.0], DjhT3Ol8Gt, 6459927]
[paragraph, [145.0, 329.0, 277.0, 18.0], DjhT3Ol8Gt, 6459927]
[paragraph, [149.0, 358.0, 315.0, 18.0], jZzbwlt516, 6459927]
[paragraph, [149.0, 376.0, 315.0, 18.0], jZzbwlt516, 6459927]
[paragraph, [149.0, 394.0, 315.0, 18.0], jZzbwlt516, 6459927]
[paragraph, [149.0, 412.0, 315.0, 18.0], jZzbwlt516, 6459927]
[paragraph, [149.0, 430.0, 315.0, 18.0], jZzbwlt516, 6459927]
[paragraph, [149.0, 448.0, 315.0, 18.0], jZzbwlt516, 6459927]
[paragraph, [145.0, 473.0, 282.0, 18.0], pPx6TCkRSm, 6459927]
[paragraph, [145.0, 491.0, 282.0, 18.0], pPx6TCkRSm, 6459927]
[paragraph, [145.0, 509.0, 282.0, 18.0], pPx6TCkRSm, 6459927]
[paragraph, [145.0, 527.0, 282.0, 18.0], pPx6TCkRSm, 6459927]
[paragraph, [145.0, 545.0, 282.0, 18.0], pPx6TCkRSm, 6459927]
[paragraph, [143.0, 578.0, 321.0, 18.0], GoaK7QX_Dc, 6459927]
[paragraph, [143.0, 596.0, 321.0, 18.0], GoaK7QX_Dc, 6459927]
[paragraph, [143.0, 614.0, 321.0, 18.0], GoaK7QX_Dc, 6459927]
[paragraph, [143.0, 632.0, 321.0, 18.0], GoaK7QX_Dc, 6459927]
[paragraph, [143.0, 650.0, 321.0, 18.0], GoaK7QX_Dc, 6459927]
[paragraph, [143.0, 668.0, 321.0, 18.0], GoaK7QX_Dc, 6459927]
[paragraph, [143.0, 686.0, 321.0, 18.0], GoaK7QX_Dc, 6459927]
[paragraph, [143.0, 704.0, 321.0, 18.0], GoaK7QX_Dc, 6459927]
[footnote, [138.0, 731.0, 290.0, 18.0], shoonya_0sFH7BNV13MNY9, 6459927]
[footnote, [138.0, 749.0, 290.0, 18.0], shoonya_0sFH7BNV13MNY9, 6459927]
[footnote, [138.0, 767.0, 290.0, 18.0], shoonya_0sFH7BNV13MNY9, 6459927]
