[2067, 1567]
[folio, [1204.0, 194.0, 167.0, 36.0], shoonya_10s2OXW8ERCXDL, 5736162]
[paragraph, [192.0, 251.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 287.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 323.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 359.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 395.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 431.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 467.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 503.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 539.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 575.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 611.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 647.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 683.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 719.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 755.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 791.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 827.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 863.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 899.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [192.0, 935.0, 579.0, 36.0], shoonya_2s3RU99CCV1LGB, 5736162]
[paragraph, [791.0, 252.0, 580.0, 36.0], shoonya_1s3SPEF4GZAVUO, 5736162]
[paragraph, [791.0, 288.0, 580.0, 36.0], shoonya_1s3SPEF4GZAVUO, 5736162]
