[595, 401]
[folio, [30.0, 51.0, 280.0, 18.0], KMAMicfiFU, 5711042]
[paragraph, [37.0, 77.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 95.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 113.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 131.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 149.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 167.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 185.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 203.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 221.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 239.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 257.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 275.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 293.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 311.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 329.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [37.0, 347.0, 328.0, 18.0], shoonya_1sKQL21PD3ANY6, 5711042]
[paragraph, [46.0, 385.0, 316.0, 18.0], shoonya_0sEUUMYK5ZQL93, 5711042]
[paragraph, [46.0, 403.0, 316.0, 18.0], shoonya_0sEUUMYK5ZQL93, 5711042]
[paragraph, [46.0, 421.0, 316.0, 18.0], shoonya_0sEUUMYK5ZQL93, 5711042]
[paragraph, [46.0, 439.0, 316.0, 18.0], shoonya_0sEUUMYK5ZQL93, 5711042]
[paragraph, [46.0, 457.0, 316.0, 18.0], shoonya_0sEUUMYK5ZQL93, 5711042]
[paragraph, [46.0, 475.0, 316.0, 18.0], shoonya_0sEUUMYK5ZQL93, 5711042]
[paragraph, [46.0, 493.0, 316.0, 18.0], shoonya_0sEUUMYK5ZQL93, 5711042]
[paragraph, [46.0, 511.0, 316.0, 18.0], shoonya_0sEUUMYK5ZQL93, 5711042]
