[1004, 621]
[chapter-title, [173.0, 269.0, 275.0, 30.0], shoonya_1sS6T325QD5ZZE, 5740492]
[section-title, [245.0, 340.0, 129.0, 30.0], shoonya_0s6Q0U9OJ3K69M, 5740492]
[paragraph, [27.0, 388.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 406.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 424.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 442.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 460.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 478.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 496.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 514.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 532.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 550.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 568.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 586.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 604.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 622.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 640.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 658.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 676.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 694.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 712.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 730.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 748.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 766.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 784.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 802.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 820.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 838.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 856.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 874.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 892.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 910.0, 561.0, 18.0], Wl47xIC47l, 5740492]
[paragraph, [27.0, 928.0, 561.0, 18.0], Wl47xIC47l, 5740492]
