[2339, 1656]
[dateline, [1060.0, 31.0, 531.0, 64.5], peRsTwX_7Y, 5656738]
[folio, [105.0, 35.0, 673.0, 36.0], JJfIapcQlp, 5656738]
[folio, [105.0, 71.0, 673.0, 36.0], JJfIapcQlp, 5656738]
[section-title, [533.0, 129.0, 568.0, 52.5], shoonya_10sGOZLDK4ZD9V, 5656738]
[author, [486.0, 242.0, 657.0, 36.0], shoonya_11s2Y4ZSRDPNHW, 5656738]
[paragraph, [94.0, 320.0, 707.0, 36.0], shoonya_6sSS7F3RZR3AO4, 5656738]
[paragraph, [94.0, 356.0, 707.0, 36.0], shoonya_6sSS7F3RZR3AO4, 5656738]
[paragraph, [94.0, 392.0, 707.0, 36.0], shoonya_6sSS7F3RZR3AO4, 5656738]
[paragraph, [94.0, 428.0, 707.0, 36.0], shoonya_6sSS7F3RZR3AO4, 5656738]
[paragraph, [94.0, 464.0, 707.0, 36.0], shoonya_6sSS7F3RZR3AO4, 5656738]
[paragraph, [94.0, 500.0, 707.0, 36.0], shoonya_6sSS7F3RZR3AO4, 5656738]
[paragraph, [846.0, 320.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 356.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 392.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 428.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 464.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 500.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 536.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 572.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 608.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 644.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 680.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 716.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 752.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 788.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 824.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 860.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 896.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 932.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [846.0, 968.0, 702.0, 36.0], shoonya_0sBI53Y26IWBH0, 5656738]
[paragraph, [95.0, 583.0, 703.0, 36.0], shoonya_5sGRX9MBYBHM13, 5656738]
[paragraph, [95.0, 619.0, 703.0, 36.0], shoonya_5sGRX9MBYBHM13, 5656738]
[paragraph, [95.0, 655.0, 703.0, 36.0], shoonya_5sGRX9MBYBHM13, 5656738]
[paragraph, [95.0, 691.0, 703.0, 36.0], shoonya_5sGRX9MBYBHM13, 5656738]
[paragraph, [95.0, 727.0, 703.0, 36.0], shoonya_5sGRX9MBYBHM13, 5656738]
[paragraph, [95.0, 763.0, 703.0, 36.0], shoonya_5sGRX9MBYBHM13, 5656738]
[paragraph, [95.0, 799.0, 703.0, 36.0], shoonya_5sGRX9MBYBHM13, 5656738]
[paragraph, [95.0, 835.0, 703.0, 36.0], shoonya_5sGRX9MBYBHM13, 5656738]
[paragraph, [843.0, 1028.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1064.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1100.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1136.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1172.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1208.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1244.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1280.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1316.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1352.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1388.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1424.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1460.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1496.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
[paragraph, [843.0, 1532.0, 706.0, 36.0], shoonya_1sNNEBG65QUHVO, 5656738]
