[872, 605]
[folio, [38.0, 28.0, 81.0, 18.0], 6nztAZ3Hyx, 6457415]
[paragraph, [300.0, 69.0, 257.0, 18.0], 110r4p4-BP, 6457415]
[paragraph, [300.0, 87.0, 257.0, 18.0], 110r4p4-BP, 6457415]
[paragraph, [300.0, 105.0, 257.0, 18.0], 110r4p4-BP, 6457415]
[paragraph, [300.0, 123.0, 257.0, 18.0], 110r4p4-BP, 6457415]
[paragraph, [34.0, 71.0, 259.0, 18.0], 8H2mcJKiBw, 6457415]
[paragraph, [34.0, 89.0, 259.0, 18.0], 8H2mcJKiBw, 6457415]
[paragraph, [32.0, 110.0, 263.0, 18.0], -H3Jox-Gwh, 6457415]
[paragraph, [32.0, 128.0, 263.0, 18.0], -H3Jox-Gwh, 6457415]
[paragraph, [32.0, 146.0, 263.0, 18.0], -H3Jox-Gwh, 6457415]
[paragraph, [304.0, 146.0, 254.0, 18.0], qPCc9726c7, 6457415]
[paragraph, [34.0, 183.0, 259.0, 18.0], f-x0WO_Lo7, 6457415]
[paragraph, [34.0, 201.0, 259.0, 18.0], f-x0WO_Lo7, 6457415]
[paragraph, [301.0, 184.0, 260.0, 18.0], tQNV_ThKvy, 6457415]
[paragraph, [299.0, 203.0, 229.0, 18.0], GCygKCXpob, 6457415]
[paragraph, [33.0, 224.0, 261.0, 18.0], RpXs9YNjEm, 6457415]
[paragraph, [33.0, 242.0, 261.0, 18.0], RpXs9YNjEm, 6457415]
[paragraph, [33.0, 260.0, 261.0, 18.0], RpXs9YNjEm, 6457415]
[paragraph, [33.0, 278.0, 261.0, 18.0], RpXs9YNjEm, 6457415]
[paragraph, [33.0, 296.0, 261.0, 18.0], RpXs9YNjEm, 6457415]
[paragraph, [304.0, 224.0, 259.0, 18.0], YS3lZEiI7q, 6457415]
[paragraph, [316.0, 259.0, 246.0, 18.0], R81IbGohFH, 6457415]
[paragraph, [313.0, 277.0, 172.0, 18.0], YTXOaLzD8_, 6457415]
[paragraph, [301.0, 297.0, 230.0, 18.0], tAXM6_UlMY, 6457415]
[paragraph, [302.0, 317.0, 224.0, 18.0], HnTJ13LmiH, 6457415]
[paragraph, [54.0, 332.0, 229.0, 18.0], vwAhlL2pTO, 6457415]
[paragraph, [304.0, 336.0, 261.0, 18.0], GGT265hekD, 6457415]
[paragraph, [304.0, 354.0, 261.0, 18.0], GGT265hekD, 6457415]
[paragraph, [304.0, 372.0, 261.0, 18.0], GGT265hekD, 6457415]
[paragraph, [304.0, 390.0, 261.0, 18.0], GGT265hekD, 6457415]
[paragraph, [35.0, 357.0, 265.0, 18.0], mFgz3Rbi3U, 6457415]
[paragraph, [35.0, 375.0, 265.0, 18.0], mFgz3Rbi3U, 6457415]
[paragraph, [38.0, 398.0, 262.0, 18.0], I0h_s5N7Wg, 6457415]
[paragraph, [38.0, 416.0, 262.0, 18.0], I0h_s5N7Wg, 6457415]
[paragraph, [305.0, 409.0, 261.0, 18.0], JXI1vGbbd1, 6457415]
[paragraph, [305.0, 441.0, 245.0, 18.0], HZZMjEydP3, 6457415]
[paragraph, [305.0, 461.0, 223.0, 18.0], ccmRAUgptB, 6457415]
[paragraph, [52.0, 470.0, 156.0, 18.0], LTfbDZFfSX, 6457415]
[paragraph, [306.0, 481.0, 260.0, 18.0], sDbd5ws5LD, 6457415]
[paragraph, [306.0, 499.0, 260.0, 18.0], sDbd5ws5LD, 6457415]
[paragraph, [306.0, 517.0, 260.0, 18.0], sDbd5ws5LD, 6457415]
[paragraph, [35.0, 507.0, 265.0, 18.0], TbOIE5xLMZ, 6457415]
[paragraph, [35.0, 525.0, 265.0, 18.0], TbOIE5xLMZ, 6457415]
[paragraph, [38.0, 548.0, 263.0, 18.0], V2WlodgFcP, 6457415]
[paragraph, [38.0, 566.0, 263.0, 18.0], V2WlodgFcP, 6457415]
[paragraph, [38.0, 584.0, 263.0, 18.0], V2WlodgFcP, 6457415]
[paragraph, [306.0, 553.0, 262.0, 18.0], nOWU7Xh6-w, 6457415]
[paragraph, [306.0, 587.0, 234.0, 18.0], 8cbvz3yu_l, 6457415]
[paragraph, [305.0, 607.0, 223.0, 18.0], _t4BOeHZq0, 6457415]
[paragraph, [306.0, 625.0, 263.0, 18.0], 2nhGStp6R3, 6457415]
[paragraph, [306.0, 643.0, 263.0, 18.0], 2nhGStp6R3, 6457415]
[paragraph, [38.0, 669.0, 252.0, 18.0], G7kZi3a0B4, 6457415]
[paragraph, [38.0, 687.0, 252.0, 18.0], G7kZi3a0B4, 6457415]
[paragraph, [307.0, 677.0, 261.0, 18.0], 3X-dPqFhx2, 6457415]
[paragraph, [39.0, 706.0, 214.0, 18.0], A0DspCeQUt, 6457415]
[paragraph, [318.0, 713.0, 143.0, 18.0], FEaXcze3lS, 6457415]
[paragraph, [306.0, 731.0, 259.0, 18.0], mmmJmYvtxW, 6457415]
[reference, [44.0, 751.0, 260.0, 18.0], 913W4tZaJn, 6457415]
[reference, [44.0, 769.0, 260.0, 18.0], 913W4tZaJn, 6457415]
[reference, [44.0, 787.0, 260.0, 18.0], 913W4tZaJn, 6457415]
[reference, [44.0, 805.0, 260.0, 18.0], 913W4tZaJn, 6457415]
[reference, [44.0, 823.0, 260.0, 18.0], 913W4tZaJn, 6457415]
[paragraph, [309.0, 754.0, 242.0, 18.0], TM-XDE1hHE, 6457415]
[paragraph, [309.0, 772.0, 242.0, 18.0], TM-XDE1hHE, 6457415]
[reference, [309.0, 806.0, 263.0, 18.0], hQBkO53jmm, 6457415]
