[792, 612]
[chapter-title, [210.0, 145.0, 189.0, 30.0], 8UoFYHsF0A, 6517076]
[paragraph, [148.0, 241.0, 316.0, 18.0], shoonya_0s6PFZNT1HAUIK, 6517076]
[paragraph, [148.0, 259.0, 316.0, 18.0], shoonya_0s6PFZNT1HAUIK, 6517076]
[paragraph, [148.0, 277.0, 316.0, 18.0], shoonya_0s6PFZNT1HAUIK, 6517076]
[paragraph, [148.0, 295.0, 316.0, 18.0], shoonya_0s6PFZNT1HAUIK, 6517076]
[paragraph, [148.0, 313.0, 316.0, 18.0], shoonya_0s6PFZNT1HAUIK, 6517076]
[paragraph, [148.0, 331.0, 316.0, 18.0], shoonya_0s6PFZNT1HAUIK, 6517076]
[paragraph, [148.0, 349.0, 316.0, 18.0], shoonya_0s6PFZNT1HAUIK, 6517076]
[paragraph, [148.0, 367.0, 316.0, 18.0], shoonya_0s6PFZNT1HAUIK, 6517076]
[paragraph, [148.0, 385.0, 316.0, 18.0], shoonya_0s6PFZNT1HAUIK, 6517076]
[paragraph, [148.0, 403.0, 316.0, 18.0], shoonya_0s6PFZNT1HAUIK, 6517076]
[paragraph, [149.0, 437.0, 314.0, 18.0], shoonya_1sL600624YJUA1, 6517076]
[paragraph, [149.0, 455.0, 314.0, 18.0], shoonya_1sL600624YJUA1, 6517076]
[paragraph, [149.0, 473.0, 314.0, 18.0], shoonya_1sL600624YJUA1, 6517076]
[paragraph, [149.0, 491.0, 314.0, 18.0], shoonya_1sL600624YJUA1, 6517076]
[paragraph, [149.0, 509.0, 314.0, 18.0], shoonya_1sL600624YJUA1, 6517076]
[paragraph, [149.0, 527.0, 314.0, 18.0], shoonya_1sL600624YJUA1, 6517076]
[paragraph, [149.0, 545.0, 314.0, 18.0], shoonya_1sL600624YJUA1, 6517076]
[paragraph, [149.0, 563.0, 314.0, 18.0], shoonya_1sL600624YJUA1, 6517076]
[paragraph, [149.0, 581.0, 314.0, 18.0], shoonya_1sL600624YJUA1, 6517076]
[paragraph, [148.0, 603.0, 315.0, 18.0], C_Lkv815Zv, 6517076]
[paragraph, [148.0, 621.0, 315.0, 18.0], C_Lkv815Zv, 6517076]
