[872, 605]
[folio, [38.0, 23.0, 80.0, 18.0], NMDU1PEh-L, 6456991]
[paragraph, [299.0, 62.0, 265.0, 18.0], IJ1A_BAQMK, 6456991]
[paragraph, [299.0, 80.0, 265.0, 18.0], IJ1A_BAQMK, 6456991]
[paragraph, [299.0, 98.0, 265.0, 18.0], IJ1A_BAQMK, 6456991]
[paragraph, [299.0, 116.0, 265.0, 18.0], IJ1A_BAQMK, 6456991]
[paragraph, [299.0, 134.0, 265.0, 18.0], IJ1A_BAQMK, 6456991]
[paragraph, [299.0, 152.0, 265.0, 18.0], IJ1A_BAQMK, 6456991]
[paragraph, [299.0, 170.0, 265.0, 18.0], IJ1A_BAQMK, 6456991]
[paragraph, [299.0, 188.0, 265.0, 18.0], IJ1A_BAQMK, 6456991]
[paragraph, [299.0, 206.0, 265.0, 18.0], IJ1A_BAQMK, 6456991]
[paragraph, [299.0, 224.0, 265.0, 18.0], IJ1A_BAQMK, 6456991]
[paragraph, [37.0, 67.0, 261.0, 18.0], nJFpKS0-ZI, 6456991]
[paragraph, [37.0, 85.0, 261.0, 18.0], nJFpKS0-ZI, 6456991]
[paragraph, [36.0, 102.0, 261.0, 18.0], l3jAGq-MSO, 6456991]
[paragraph, [36.0, 120.0, 261.0, 18.0], l3jAGq-MSO, 6456991]
[paragraph, [32.0, 139.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 157.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 175.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 193.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 211.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 229.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 247.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 265.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 283.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 301.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 319.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 337.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 355.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 373.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 391.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 409.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [32.0, 427.0, 268.0, 18.0], pf8va5kQ1g, 6456991]
[paragraph, [316.0, 256.0, 248.0, 18.0], IqDJpYEE3N, 6456991]
[paragraph, [306.0, 279.0, 210.0, 18.0], SY_5GcxDGy, 6456991]
[paragraph, [306.0, 301.0, 259.0, 18.0], km_k1jgmj_, 6456991]
[paragraph, [306.0, 319.0, 259.0, 18.0], km_k1jgmj_, 6456991]
[paragraph, [306.0, 341.0, 252.0, 18.0], 0R1uR82bPa, 6456991]
[paragraph, [303.0, 358.0, 249.0, 18.0], YTepFZbGEw, 6456991]
[paragraph, [303.0, 376.0, 249.0, 18.0], YTepFZbGEw, 6456991]
[paragraph, [302.0, 394.0, 267.0, 18.0], iaJIE6K9PL, 6456991]
[paragraph, [302.0, 412.0, 267.0, 18.0], iaJIE6K9PL, 6456991]
[paragraph, [302.0, 430.0, 267.0, 18.0], iaJIE6K9PL, 6456991]
[paragraph, [302.0, 448.0, 267.0, 18.0], iaJIE6K9PL, 6456991]
[paragraph, [302.0, 466.0, 267.0, 18.0], iaJIE6K9PL, 6456991]
[paragraph, [302.0, 484.0, 267.0, 18.0], iaJIE6K9PL, 6456991]
[paragraph, [302.0, 502.0, 267.0, 18.0], iaJIE6K9PL, 6456991]
[paragraph, [302.0, 520.0, 267.0, 18.0], iaJIE6K9PL, 6456991]
