[2339, 1654]
[folio, [120.0, 94.0, 500.0, 36.0], shoonya_4s5YTB372B20UX, 5750365]
[paragraph, [114.0, 145.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 181.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 217.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 253.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 289.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 325.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 361.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 397.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 433.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 469.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 505.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 541.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 577.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 613.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 649.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [114.0, 685.0, 1452.0, 36.0], shoonya_1sMHHJCF7PS9MH, 5750365]
[paragraph, [265.0, 730.0, 1160.0, 36.0], shoonya_2s768GP6G8G0QP, 5750365]
[paragraph, [265.0, 766.0, 1160.0, 36.0], shoonya_2s768GP6G8G0QP, 5750365]
[paragraph, [265.0, 802.0, 1160.0, 36.0], shoonya_2s768GP6G8G0QP, 5750365]
[paragraph, [265.0, 838.0, 1160.0, 36.0], shoonya_2s768GP6G8G0QP, 5750365]
[paragraph, [265.0, 874.0, 1160.0, 36.0], shoonya_2s768GP6G8G0QP, 5750365]
[paragraph, [265.0, 910.0, 1160.0, 36.0], shoonya_2s768GP6G8G0QP, 5750365]
[paragraph, [265.0, 946.0, 1160.0, 36.0], shoonya_2s768GP6G8G0QP, 5750365]
