[2484, 1767]
[paragraph, [352.0, 341.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 377.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 413.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 449.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 485.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 521.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 557.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 593.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 629.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 665.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 701.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 737.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 773.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 809.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 845.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 881.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 917.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 953.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 989.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1025.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1061.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1097.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1133.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1169.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1205.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1241.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1277.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1313.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1349.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1385.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1421.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [352.0, 1457.0, 1223.0, 36.0], shoonya_0s2HLQB6WHT6B6, 5754166]
[paragraph, [337.0, 1511.0, 1241.0, 36.0], 23Vs4G_2N1, 5754166]
[paragraph, [337.0, 1547.0, 1241.0, 36.0], 23Vs4G_2N1, 5754166]
[paragraph, [337.0, 1583.0, 1241.0, 36.0], 23Vs4G_2N1, 5754166]
[paragraph, [337.0, 1619.0, 1241.0, 36.0], 23Vs4G_2N1, 5754166]
[paragraph, [337.0, 1655.0, 1241.0, 36.0], 23Vs4G_2N1, 5754166]
[paragraph, [337.0, 1691.0, 1241.0, 36.0], 23Vs4G_2N1, 5754166]
[paragraph, [329.0, 1721.0, 1254.0, 36.0], 9fDXpNISWu, 5754166]
[paragraph, [329.0, 1757.0, 1254.0, 36.0], 9fDXpNISWu, 5754166]
[paragraph, [329.0, 1793.0, 1254.0, 36.0], 9fDXpNISWu, 5754166]
[paragraph, [329.0, 1829.0, 1254.0, 36.0], 9fDXpNISWu, 5754166]
[paragraph, [340.0, 1887.0, 1250.0, 36.0], PQqI3oHZ78, 5754166]
[paragraph, [340.0, 1923.0, 1250.0, 36.0], PQqI3oHZ78, 5754166]
[paragraph, [340.0, 1959.0, 1250.0, 36.0], PQqI3oHZ78, 5754166]
[paragraph, [340.0, 1995.0, 1250.0, 36.0], PQqI3oHZ78, 5754166]
[paragraph, [340.0, 2031.0, 1250.0, 36.0], PQqI3oHZ78, 5754166]
[paragraph, [340.0, 2067.0, 1250.0, 36.0], PQqI3oHZ78, 5754166]
[paragraph, [340.0, 2103.0, 1250.0, 36.0], PQqI3oHZ78, 5754166]
[paragraph, [340.0, 2139.0, 1250.0, 36.0], PQqI3oHZ78, 5754166]
