[1755, 1240]
[paragraph, [179.0, 184.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 220.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 256.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 292.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 328.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 364.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 400.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 436.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 472.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 508.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 544.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 580.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 616.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 652.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 688.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 724.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 760.0, 878.0, 36.0], shoonya_0sANL271OAVT88, 5704334]
[paragraph, [179.0, 826.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 862.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 898.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 934.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 970.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1006.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1042.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1078.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1114.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1150.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1186.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1222.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1258.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1294.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1330.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1366.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1402.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1438.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1474.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
[paragraph, [179.0, 1510.0, 878.0, 36.0], shoonya_1s5ME7SP4QFN7C, 5704334]
