[1951, 1219]
[folio, [802.0, 120.0, 197.0, 36.0], cfIFIFERFX, 5682235]
[paragraph, [118.0, 204.0, 973.0, 36.0], shoonya_0sXL2PGSF1W3NY, 5682235]
[paragraph, [118.0, 240.0, 973.0, 36.0], shoonya_0sXL2PGSF1W3NY, 5682235]
[paragraph, [118.0, 276.0, 973.0, 36.0], shoonya_0sXL2PGSF1W3NY, 5682235]
[paragraph, [118.0, 312.0, 973.0, 36.0], shoonya_0sXL2PGSF1W3NY, 5682235]
[paragraph, [118.0, 348.0, 973.0, 36.0], shoonya_0sXL2PGSF1W3NY, 5682235]
[paragraph, [118.0, 384.0, 973.0, 36.0], shoonya_0sXL2PGSF1W3NY, 5682235]
[paragraph, [118.0, 420.0, 973.0, 36.0], shoonya_0sXL2PGSF1W3NY, 5682235]
[paragraph, [118.0, 456.0, 973.0, 36.0], shoonya_0sXL2PGSF1W3NY, 5682235]
[paragraph, [118.0, 492.0, 973.0, 36.0], shoonya_0sXL2PGSF1W3NY, 5682235]
[paragraph, [121.0, 553.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 589.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 625.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 661.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 697.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 733.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 769.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 805.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 841.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 877.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 913.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 949.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 985.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 1021.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 1057.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 1093.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 1129.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 1165.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 1201.0, 969.0, 36.0], tWFwEq2mYZ, 5682235]
[paragraph, [121.0, 1254.0, 975.0, 36.0], 26EqR5iyEC, 5682235]
[paragraph, [121.0, 1290.0, 975.0, 36.0], 26EqR5iyEC, 5682235]
[paragraph, [121.0, 1326.0, 975.0, 36.0], 26EqR5iyEC, 5682235]
[paragraph, [121.0, 1362.0, 975.0, 36.0], 26EqR5iyEC, 5682235]
[paragraph, [121.0, 1398.0, 975.0, 36.0], 26EqR5iyEC, 5682235]
[paragraph, [121.0, 1434.0, 975.0, 36.0], 26EqR5iyEC, 5682235]
[paragraph, [118.0, 1498.0, 976.0, 36.0], 5cZthDKAKM, 5682235]
[paragraph, [118.0, 1534.0, 976.0, 36.0], 5cZthDKAKM, 5682235]
[paragraph, [118.0, 1570.0, 976.0, 36.0], 5cZthDKAKM, 5682235]
[paragraph, [118.0, 1606.0, 976.0, 36.0], 5cZthDKAKM, 5682235]
[paragraph, [118.0, 1642.0, 976.0, 36.0], 5cZthDKAKM, 5682235]
[paragraph, [118.0, 1678.0, 976.0, 36.0], 5cZthDKAKM, 5682235]
[paragraph, [118.0, 1714.0, 976.0, 36.0], 5cZthDKAKM, 5682235]
[paragraph, [118.0, 1750.0, 976.0, 36.0], 5cZthDKAKM, 5682235]
[paragraph, [118.0, 1786.0, 976.0, 36.0], 5cZthDKAKM, 5682235]
