[1300, 900]
[folio, [384.0, 37.0, 117.0, 18.0], N4A9myCfwP, 5732659]
[section-title, [219.0, 100.0, 441.0, 30.0], O24zPaYJSc, 5732659]
[section-title, [219.0, 130.0, 441.0, 30.0], O24zPaYJSc, 5732659]
[paragraph, [83.0, 171.0, 710.0, 18.0], shoonya_1s758RIH4X6LTE, 5732659]
[paragraph, [83.0, 189.0, 710.0, 18.0], shoonya_1s758RIH4X6LTE, 5732659]
[paragraph, [83.0, 207.0, 710.0, 18.0], shoonya_1s758RIH4X6LTE, 5732659]
[paragraph, [83.0, 225.0, 710.0, 18.0], shoonya_1s758RIH4X6LTE, 5732659]
[paragraph, [83.0, 243.0, 710.0, 18.0], shoonya_1s758RIH4X6LTE, 5732659]
[paragraph, [83.0, 261.0, 710.0, 18.0], shoonya_1s758RIH4X6LTE, 5732659]
[paragraph, [83.0, 279.0, 710.0, 18.0], shoonya_1s758RIH4X6LTE, 5732659]
[paragraph, [83.0, 297.0, 710.0, 18.0], shoonya_1s758RIH4X6LTE, 5732659]
[paragraph, [83.0, 315.0, 710.0, 18.0], shoonya_1s758RIH4X6LTE, 5732659]
[paragraph, [83.0, 333.0, 710.0, 18.0], shoonya_1s758RIH4X6LTE, 5732659]
[paragraph, [84.0, 350.0, 707.0, 18.0], shoonya_0sMGRULEGBMO7N, 5732659]
[paragraph, [84.0, 368.0, 707.0, 18.0], shoonya_0sMGRULEGBMO7N, 5732659]
[paragraph, [84.0, 386.0, 707.0, 18.0], shoonya_0sMGRULEGBMO7N, 5732659]
[paragraph, [84.0, 404.0, 707.0, 18.0], shoonya_0sMGRULEGBMO7N, 5732659]
[paragraph, [84.0, 422.0, 707.0, 18.0], shoonya_0sMGRULEGBMO7N, 5732659]
[paragraph, [86.0, 446.0, 704.0, 18.0], shoonya_4sCGN73N8UU6RI, 5732659]
[paragraph, [86.0, 464.0, 704.0, 18.0], shoonya_4sCGN73N8UU6RI, 5732659]
[paragraph, [86.0, 482.0, 704.0, 18.0], shoonya_4sCGN73N8UU6RI, 5732659]
[paragraph, [86.0, 500.0, 704.0, 18.0], shoonya_4sCGN73N8UU6RI, 5732659]
[paragraph, [83.0, 531.0, 709.0, 18.0], shoonya_5sONIOUHDUQG4E, 5732659]
[paragraph, [83.0, 549.0, 709.0, 18.0], shoonya_5sONIOUHDUQG4E, 5732659]
[paragraph, [83.0, 567.0, 709.0, 18.0], shoonya_5sONIOUHDUQG4E, 5732659]
[paragraph, [83.0, 585.0, 709.0, 18.0], shoonya_5sONIOUHDUQG4E, 5732659]
[paragraph, [83.0, 603.0, 709.0, 18.0], shoonya_5sONIOUHDUQG4E, 5732659]
[paragraph, [83.0, 621.0, 709.0, 18.0], shoonya_5sONIOUHDUQG4E, 5732659]
[paragraph, [83.0, 639.0, 709.0, 18.0], shoonya_5sONIOUHDUQG4E, 5732659]
[paragraph, [75.0, 673.0, 721.0, 18.0], shoonya_6sLDB7570MWV4U, 5732659]
[paragraph, [75.0, 691.0, 721.0, 18.0], shoonya_6sLDB7570MWV4U, 5732659]
[paragraph, [75.0, 709.0, 721.0, 18.0], shoonya_6sLDB7570MWV4U, 5732659]
[paragraph, [75.0, 727.0, 721.0, 18.0], shoonya_6sLDB7570MWV4U, 5732659]
[paragraph, [75.0, 745.0, 721.0, 18.0], shoonya_6sLDB7570MWV4U, 5732659]
[section-title, [226.0, 773.0, 439.0, 30.0], shoonya_8sXW4KG50C50LS, 5732659]
[section-title, [226.0, 803.0, 439.0, 30.0], shoonya_8sXW4KG50C50LS, 5732659]
[paragraph, [80.0, 841.0, 714.0, 18.0], shoonya_7sN87GIXF1MKX8, 5732659]
[paragraph, [80.0, 859.0, 714.0, 18.0], shoonya_7sN87GIXF1MKX8, 5732659]
[paragraph, [80.0, 877.0, 714.0, 18.0], shoonya_7sN87GIXF1MKX8, 5732659]
[paragraph, [80.0, 895.0, 714.0, 18.0], shoonya_7sN87GIXF1MKX8, 5732659]
[paragraph, [77.0, 931.0, 716.0, 18.0], CukdW0IMW7, 5732659]
[paragraph, [77.0, 949.0, 716.0, 18.0], CukdW0IMW7, 5732659]
[paragraph, [77.0, 967.0, 716.0, 18.0], CukdW0IMW7, 5732659]
[paragraph, [77.0, 985.0, 716.0, 18.0], CukdW0IMW7, 5732659]
[paragraph, [77.0, 1003.0, 716.0, 18.0], CukdW0IMW7, 5732659]
[paragraph, [79.0, 1033.0, 717.0, 18.0], ZHzk_CqO0P, 5732659]
[paragraph, [79.0, 1051.0, 717.0, 18.0], ZHzk_CqO0P, 5732659]
[paragraph, [79.0, 1069.0, 717.0, 18.0], ZHzk_CqO0P, 5732659]
[paragraph, [79.0, 1087.0, 717.0, 18.0], ZHzk_CqO0P, 5732659]
[paragraph, [85.0, 1123.0, 717.0, 18.0], SMgbpYG1FD, 5732659]
[paragraph, [85.0, 1141.0, 717.0, 18.0], SMgbpYG1FD, 5732659]
[paragraph, [85.0, 1159.0, 717.0, 18.0], SMgbpYG1FD, 5732659]
[paragraph, [85.0, 1177.0, 717.0, 18.0], SMgbpYG1FD, 5732659]
[paragraph, [137.0, 1211.0, 664.0, 18.0], 8ysXWNzTMM, 5732659]
[paragraph, [137.0, 1229.0, 664.0, 18.0], 8ysXWNzTMM, 5732659]
[paragraph, [137.0, 1247.0, 664.0, 18.0], 8ysXWNzTMM, 5732659]
