[555, 351]
[folio, [124.0, 52.0, 99.0, 18.0], KhLjQYKPQn, 6458001]
[paragraph, [17.0, 112.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 130.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 148.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 166.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 184.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 202.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 220.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 238.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 256.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 274.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 292.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 310.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 328.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 346.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 364.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 382.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 400.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 418.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 436.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 454.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 472.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
[paragraph, [17.0, 490.0, 308.0, 18.0], shoonya_0sKWMNMWR4YZHN, 6458001]
