[585, 406]
[paragraph, [55.0, 41.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 59.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 77.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 95.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 113.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 131.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 149.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 167.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 185.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 203.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 221.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 239.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 257.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 275.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 293.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 311.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 329.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 347.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 365.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 383.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 401.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 419.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 437.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 455.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 473.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 491.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
[paragraph, [55.0, 509.0, 311.0, 18.0], shoonya_0sRLJY5QBZLPVU, 6494755]
