[2600, 2040]
[folio, [1384.0, 127.0, 408.0, 46.5], mfdY81oo4f, 5699983]
[paragraph, [664.0, 261.0, 1130.0, 46.5], shoonya_9s90ABR4BRIBMQ, 5699983]
[paragraph, [664.0, 307.5, 1130.0, 46.5], shoonya_9s90ABR4BRIBMQ, 5699983]
[paragraph, [659.0, 366.0, 1135.0, 46.5], shoonya_6sB9JVXIFE897Q, 5699983]
[paragraph, [659.0, 412.5, 1135.0, 46.5], shoonya_6sB9JVXIFE897Q, 5699983]
[paragraph, [659.0, 459.0, 1135.0, 46.5], shoonya_6sB9JVXIFE897Q, 5699983]
[paragraph, [655.0, 522.0, 1139.0, 46.5], uaspOdQd20, 5699983]
[paragraph, [655.0, 568.5, 1139.0, 46.5], uaspOdQd20, 5699983]
[paragraph, [655.0, 615.0, 1139.0, 46.5], uaspOdQd20, 5699983]
[paragraph, [655.0, 661.5, 1139.0, 46.5], uaspOdQd20, 5699983]
[paragraph, [655.0, 708.0, 1139.0, 46.5], uaspOdQd20, 5699983]
[paragraph, [655.0, 754.5, 1139.0, 46.5], uaspOdQd20, 5699983]
[paragraph, [660.0, 820.0, 1134.0, 46.5], -dLRFw9w0x, 5699983]
[paragraph, [660.0, 866.5, 1134.0, 46.5], -dLRFw9w0x, 5699983]
[paragraph, [660.0, 913.0, 1134.0, 46.5], -dLRFw9w0x, 5699983]
[paragraph, [642.0, 973.0, 1147.0, 46.5], Vg3Vf2RLGt, 5699983]
[paragraph, [642.0, 1019.5, 1147.0, 46.5], Vg3Vf2RLGt, 5699983]
[paragraph, [642.0, 1066.0, 1147.0, 46.5], Vg3Vf2RLGt, 5699983]
[sidebar, [291.0, 1135.0, 353.0, 46.5], shoonya_7sQJS3RUIUVEZM, 5699983]
[sidebar, [291.0, 1181.5, 353.0, 46.5], shoonya_7sQJS3RUIUVEZM, 5699983]
[sidebar, [291.0, 1228.0, 353.0, 46.5], shoonya_7sQJS3RUIUVEZM, 5699983]
[sidebar, [291.0, 1274.5, 353.0, 46.5], shoonya_7sQJS3RUIUVEZM, 5699983]
[sidebar, [291.0, 1321.0, 353.0, 46.5], shoonya_7sQJS3RUIUVEZM, 5699983]
[sidebar, [291.0, 1367.5, 353.0, 46.5], shoonya_7sQJS3RUIUVEZM, 5699983]
[sidebar, [291.0, 1414.0, 353.0, 46.5], shoonya_7sQJS3RUIUVEZM, 5699983]
[sidebar, [291.0, 1460.5, 353.0, 46.5], shoonya_7sQJS3RUIUVEZM, 5699983]
[paragraph, [663.0, 1135.0, 1127.0, 46.5], shoonya_2sCBLHOKLZU363, 5699983]
[paragraph, [663.0, 1181.5, 1127.0, 46.5], shoonya_2sCBLHOKLZU363, 5699983]
[paragraph, [663.0, 1228.0, 1127.0, 46.5], shoonya_2sCBLHOKLZU363, 5699983]
[paragraph, [663.0, 1274.5, 1127.0, 46.5], shoonya_2sCBLHOKLZU363, 5699983]
[paragraph, [657.0, 1381.0, 1131.0, 46.5], shoonya_1s31PPSLDNFL4L, 5699983]
[paragraph, [657.0, 1427.5, 1131.0, 46.5], shoonya_1s31PPSLDNFL4L, 5699983]
[paragraph, [657.0, 1474.0, 1131.0, 46.5], shoonya_1s31PPSLDNFL4L, 5699983]
[paragraph, [657.0, 1520.5, 1131.0, 46.5], shoonya_1s31PPSLDNFL4L, 5699983]
[paragraph, [657.0, 1567.0, 1131.0, 46.5], shoonya_1s31PPSLDNFL4L, 5699983]
[paragraph, [657.0, 1629.0, 1132.0, 46.5], shoonya_3sT1BCZHJ56XZP, 5699983]
[paragraph, [657.0, 1675.5, 1132.0, 46.5], shoonya_3sT1BCZHJ56XZP, 5699983]
[paragraph, [655.0, 1856.0, 1134.0, 46.5], shoonya_0s5UWOE43CW0YO, 5699983]
[paragraph, [655.0, 1902.5, 1134.0, 46.5], shoonya_0s5UWOE43CW0YO, 5699983]
[paragraph, [655.0, 1949.0, 1134.0, 46.5], shoonya_0s5UWOE43CW0YO, 5699983]
[paragraph, [655.0, 1995.5, 1134.0, 46.5], shoonya_0s5UWOE43CW0YO, 5699983]
[paragraph, [650.0, 2173.0, 1136.0, 46.5], shoonya_5sOJTM8JNGKJW1, 5699983]
[paragraph, [650.0, 2219.5, 1136.0, 46.5], shoonya_5sOJTM8JNGKJW1, 5699983]
[paragraph, [650.0, 2266.0, 1136.0, 46.5], shoonya_5sOJTM8JNGKJW1, 5699983]
[folio, [640.0, 2388.0, 525.0, 46.5], hxQFCY2o7I, 5699983]
