[864, 612]
[ordered-list, [60.0, 74.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 92.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 110.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 128.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 146.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 164.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 182.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 200.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 218.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 236.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 254.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 272.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 290.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 308.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 326.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 344.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 362.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 380.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 398.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 416.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 434.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 452.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 470.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 488.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 506.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 524.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 542.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 560.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 578.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 596.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 614.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 632.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 650.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 668.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 686.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 704.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 722.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[ordered-list, [60.0, 740.0, 502.0, 18.0], jDjYw2gd8T, 5717431]
[sub-ordered-list, [68.0, 78.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 96.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 114.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 132.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 150.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 168.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 186.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 204.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 222.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 240.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 258.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 276.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 294.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 312.0, 481.0, 18.0], gPqFIGtBro, 5717431]
[sub-ordered-list, [68.0, 330.0, 481.0, 18.0], gPqFIGtBro, 5717431]
