[2650, 2048]
[paragraph, [346.0, 335.0, 1573.0, 46.5], shoonya_2s33F75JEPNU7N, 6474023]
[paragraph, [346.0, 381.5, 1573.0, 46.5], shoonya_2s33F75JEPNU7N, 6474023]
[paragraph, [348.0, 684.0, 1655.0, 46.5], shoonya_0sJYCA31DFLNUA, 6474023]
[paragraph, [348.0, 730.5, 1655.0, 46.5], shoonya_0sJYCA31DFLNUA, 6474023]
[paragraph, [348.0, 777.0, 1655.0, 46.5], shoonya_0sJYCA31DFLNUA, 6474023]
[paragraph, [348.0, 823.5, 1655.0, 46.5], shoonya_0sJYCA31DFLNUA, 6474023]
[paragraph, [348.0, 870.0, 1655.0, 46.5], shoonya_0sJYCA31DFLNUA, 6474023]
[paragraph, [352.0, 938.0, 1667.0, 46.5], shoonya_1sV8PW5EYYSPZM, 6474023]
[paragraph, [352.0, 984.5, 1667.0, 46.5], shoonya_1sV8PW5EYYSPZM, 6474023]
[paragraph, [352.0, 1031.0, 1667.0, 46.5], shoonya_1sV8PW5EYYSPZM, 6474023]
[paragraph, [352.0, 1077.5, 1667.0, 46.5], shoonya_1sV8PW5EYYSPZM, 6474023]
[paragraph, [352.0, 1124.0, 1667.0, 46.5], shoonya_1sV8PW5EYYSPZM, 6474023]
[paragraph, [352.0, 1170.5, 1667.0, 46.5], shoonya_1sV8PW5EYYSPZM, 6474023]
[paragraph, [342.0, 1263.0, 1679.0, 46.5], shoonya_7sT2H69NWRSWEG, 6474023]
[paragraph, [342.0, 1309.5, 1679.0, 46.5], shoonya_7sT2H69NWRSWEG, 6474023]
[paragraph, [342.0, 1356.0, 1679.0, 46.5], shoonya_7sT2H69NWRSWEG, 6474023]
[paragraph, [342.0, 1402.5, 1679.0, 46.5], shoonya_7sT2H69NWRSWEG, 6474023]
[paragraph, [342.0, 1449.0, 1679.0, 46.5], shoonya_7sT2H69NWRSWEG, 6474023]
[paragraph, [342.0, 1495.5, 1679.0, 46.5], shoonya_7sT2H69NWRSWEG, 6474023]
[paragraph, [344.0, 1584.0, 1669.0, 46.5], shoonya_3s7KTZ4TGNB11M, 6474023]
[paragraph, [344.0, 1630.5, 1669.0, 46.5], shoonya_3s7KTZ4TGNB11M, 6474023]
[paragraph, [344.0, 1677.0, 1669.0, 46.5], shoonya_3s7KTZ4TGNB11M, 6474023]
[paragraph, [344.0, 1723.5, 1669.0, 46.5], shoonya_3s7KTZ4TGNB11M, 6474023]
[paragraph, [344.0, 1770.0, 1669.0, 46.5], shoonya_3s7KTZ4TGNB11M, 6474023]
[paragraph, [344.0, 1816.5, 1669.0, 46.5], shoonya_3s7KTZ4TGNB11M, 6474023]
[paragraph, [344.0, 1863.0, 1669.0, 46.5], shoonya_3s7KTZ4TGNB11M, 6474023]
[paragraph, [344.0, 1909.5, 1669.0, 46.5], shoonya_3s7KTZ4TGNB11M, 6474023]
[paragraph, [344.0, 1956.0, 1669.0, 46.5], shoonya_3s7KTZ4TGNB11M, 6474023]
[paragraph, [347.0, 2044.0, 1675.0, 46.5], shoonya_4sFTM48WQDSTU0, 6474023]
[paragraph, [347.0, 2090.5, 1675.0, 46.5], shoonya_4sFTM48WQDSTU0, 6474023]
[paragraph, [347.0, 2137.0, 1675.0, 46.5], shoonya_4sFTM48WQDSTU0, 6474023]
[paragraph, [347.0, 2183.5, 1675.0, 46.5], shoonya_4sFTM48WQDSTU0, 6474023]
[paragraph, [347.0, 2230.0, 1675.0, 46.5], shoonya_4sFTM48WQDSTU0, 6474023]
[paragraph, [347.0, 2276.5, 1675.0, 46.5], shoonya_4sFTM48WQDSTU0, 6474023]
