[1152, 739]
[section-title, [318.0, 100.0, 128.0, 30.0], shoonya_1sQFKCOROAGKMK, 5741119]
[paragraph, [98.0, 154.0, 538.0, 18.0], P9aXqcus6P, 5741119]
[paragraph, [98.0, 172.0, 538.0, 18.0], P9aXqcus6P, 5741119]
[paragraph, [98.0, 190.0, 538.0, 18.0], P9aXqcus6P, 5741119]
[paragraph, [98.0, 208.0, 538.0, 18.0], P9aXqcus6P, 5741119]
[paragraph, [98.0, 226.0, 538.0, 18.0], P9aXqcus6P, 5741119]
[paragraph, [98.0, 244.0, 538.0, 18.0], P9aXqcus6P, 5741119]
[paragraph, [98.0, 262.0, 538.0, 18.0], P9aXqcus6P, 5741119]
[paragraph, [98.0, 280.0, 538.0, 18.0], P9aXqcus6P, 5741119]
[paragraph, [98.0, 298.0, 538.0, 18.0], P9aXqcus6P, 5741119]
[paragraph, [157.0, 333.0, 318.0, 18.0], DkUNkJmOQL, 5741119]
[paragraph, [99.0, 362.0, 536.0, 18.0], QcGIaB0ENn, 5741119]
[paragraph, [99.0, 380.0, 536.0, 18.0], QcGIaB0ENn, 5741119]
[paragraph, [99.0, 398.0, 536.0, 18.0], QcGIaB0ENn, 5741119]
[paragraph, [154.0, 432.0, 441.0, 18.0], dimG1vecs-, 5741119]
[paragraph, [154.0, 450.0, 441.0, 18.0], dimG1vecs-, 5741119]
[paragraph, [102.0, 474.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 492.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 510.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 528.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 546.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 564.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 582.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 600.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 618.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 636.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 654.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 672.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 690.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 708.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 726.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 744.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 762.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 780.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 798.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [102.0, 816.0, 539.0, 18.0], fYXhPXl64n, 5741119]
[paragraph, [99.0, 860.0, 536.0, 18.0], 3ZH1ZQ8OA2, 5741119]
[paragraph, [99.0, 878.0, 536.0, 18.0], 3ZH1ZQ8OA2, 5741119]
[paragraph, [99.0, 896.0, 536.0, 18.0], 3ZH1ZQ8OA2, 5741119]
[paragraph, [99.0, 914.0, 536.0, 18.0], 3ZH1ZQ8OA2, 5741119]
[paragraph, [99.0, 932.0, 536.0, 18.0], 3ZH1ZQ8OA2, 5741119]
[paragraph, [99.0, 950.0, 536.0, 18.0], 3ZH1ZQ8OA2, 5741119]
[paragraph, [99.0, 968.0, 536.0, 18.0], 3ZH1ZQ8OA2, 5741119]
[footnote, [425.0, 1113.0, 255.0, 18.0], DPkYcT2hW_, 5741119]
