[872, 605]
[folio, [476.0, 29.0, 68.0, 18.0], VMgQjVY7BV, 6456850]
[paragraph, [65.0, 69.0, 236.0, 18.0], wCWCsREyaH, 6456850]
[paragraph, [303.0, 69.0, 246.0, 18.0], shoonya_1s7MJTDYMLUSGK, 6456850]
[paragraph, [303.0, 87.0, 246.0, 18.0], shoonya_1s7MJTDYMLUSGK, 6456850]
[paragraph, [303.0, 105.0, 246.0, 18.0], shoonya_1s7MJTDYMLUSGK, 6456850]
[paragraph, [303.0, 123.0, 246.0, 18.0], shoonya_1s7MJTDYMLUSGK, 6456850]
[paragraph, [303.0, 141.0, 246.0, 18.0], shoonya_1s7MJTDYMLUSGK, 6456850]
[paragraph, [303.0, 159.0, 246.0, 18.0], shoonya_1s7MJTDYMLUSGK, 6456850]
[paragraph, [303.0, 177.0, 246.0, 18.0], shoonya_1s7MJTDYMLUSGK, 6456850]
[paragraph, [50.0, 99.0, 249.0, 18.0], c_Gp7ZZV9Q, 6456850]
[paragraph, [50.0, 117.0, 249.0, 18.0], c_Gp7ZZV9Q, 6456850]
[paragraph, [49.0, 136.0, 250.0, 18.0], i_F2qTI3Th, 6456850]
[paragraph, [49.0, 154.0, 250.0, 18.0], i_F2qTI3Th, 6456850]
[paragraph, [49.0, 172.0, 250.0, 18.0], i_F2qTI3Th, 6456850]
[paragraph, [50.0, 194.0, 250.0, 18.0], 4_Tw5L5FjO, 6456850]
[paragraph, [50.0, 212.0, 250.0, 18.0], 4_Tw5L5FjO, 6456850]
[paragraph, [301.0, 194.0, 248.0, 18.0], shoonya_0sJB7M376T596Y, 6456850]
[paragraph, [301.0, 212.0, 248.0, 18.0], shoonya_0sJB7M376T596Y, 6456850]
[paragraph, [302.0, 232.0, 248.0, 18.0], GgbMsg6gX0, 6456850]
[paragraph, [302.0, 250.0, 248.0, 18.0], GgbMsg6gX0, 6456850]
[paragraph, [49.0, 233.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 251.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 269.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 287.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 305.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 323.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 341.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 359.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 377.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 395.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 413.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 431.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 449.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [49.0, 467.0, 252.0, 18.0], Kf9nrbl3Pr, 6456850]
[paragraph, [302.0, 275.0, 246.0, 18.0], 3w9h5zHQeY, 6456850]
[paragraph, [302.0, 293.0, 246.0, 18.0], 3w9h5zHQeY, 6456850]
[paragraph, [302.0, 311.0, 246.0, 18.0], 3w9h5zHQeY, 6456850]
[paragraph, [302.0, 329.0, 246.0, 18.0], 3w9h5zHQeY, 6456850]
[paragraph, [302.0, 347.0, 246.0, 18.0], 3w9h5zHQeY, 6456850]
[paragraph, [302.0, 365.0, 246.0, 18.0], 3w9h5zHQeY, 6456850]
