[1164, 755]
[chapter-title, [261.0, 310.0, 225.0, 30.0], R5XL5jeWHk, 5691918]
[paragraph, [68.0, 370.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [68.0, 388.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [68.0, 406.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [68.0, 424.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [68.0, 442.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [68.0, 460.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [68.0, 478.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [68.0, 496.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [68.0, 514.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [68.0, 532.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [68.0, 550.0, 615.0, 18.0], shoonya_3sTWHC18XNS5I5, 5691918]
[paragraph, [65.0, 584.0, 619.0, 18.0], shoonya_0s31FEYGPIE64P, 5691918]
[paragraph, [65.0, 602.0, 619.0, 18.0], shoonya_0s31FEYGPIE64P, 5691918]
[paragraph, [65.0, 620.0, 619.0, 18.0], shoonya_0s31FEYGPIE64P, 5691918]
[paragraph, [65.0, 652.0, 619.0, 18.0], nof1XvYEwK, 5691918]
[paragraph, [65.0, 670.0, 619.0, 18.0], nof1XvYEwK, 5691918]
[paragraph, [65.0, 688.0, 619.0, 18.0], nof1XvYEwK, 5691918]
[paragraph, [64.0, 724.0, 618.0, 18.0], HavhiUHJS-, 5691918]
[paragraph, [64.0, 742.0, 618.0, 18.0], HavhiUHJS-, 5691918]
[paragraph, [64.0, 760.0, 618.0, 18.0], HavhiUHJS-, 5691918]
[paragraph, [64.0, 778.0, 618.0, 18.0], HavhiUHJS-, 5691918]
[paragraph, [66.0, 796.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
[paragraph, [66.0, 814.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
[paragraph, [66.0, 832.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
[paragraph, [66.0, 850.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
[paragraph, [66.0, 868.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
[paragraph, [66.0, 886.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
[paragraph, [66.0, 904.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
[paragraph, [66.0, 922.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
[paragraph, [66.0, 940.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
[paragraph, [66.0, 958.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
[paragraph, [66.0, 976.0, 620.0, 18.0], shoonya_1s44M9L07HCOCF, 5691918]
