[2200, 1700]
[folio, [663.0, 59.0, 373.0, 36.0], shoonya_2sFGFQEL2YR750, 5739074]
[reference, [182.0, 288.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 324.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 360.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 396.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 432.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 468.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 504.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 540.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 576.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 612.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 648.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 684.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 720.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 756.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 792.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 828.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 864.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 900.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 936.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 972.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1008.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1044.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1080.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1116.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1152.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1188.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1224.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1260.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1296.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1332.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1368.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
[reference, [182.0, 1404.0, 1313.0, 36.0], shoonya_0sO3OJ2IUMSFYZ, 5739074]
