[1754, 1241]
[paragraph, [207.0, 144.0, 894.0, 36.0], shoonya_2sVGAGC1BJHX2Y, 6470442]
[paragraph, [207.0, 180.0, 894.0, 36.0], shoonya_2sVGAGC1BJHX2Y, 6470442]
[paragraph, [207.0, 216.0, 894.0, 36.0], shoonya_2sVGAGC1BJHX2Y, 6470442]
[paragraph, [207.0, 252.0, 894.0, 36.0], shoonya_2sVGAGC1BJHX2Y, 6470442]
[paragraph, [209.0, 332.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 368.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 404.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 440.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 476.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 512.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 548.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 584.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 620.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 656.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 692.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 728.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 764.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 800.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 836.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 872.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 908.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 944.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 980.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 1016.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 1052.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 1088.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 1124.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [209.0, 1160.0, 893.0, 36.0], shoonya_1sC1N0BV7O3T62, 6470442]
[paragraph, [214.0, 1212.0, 890.0, 36.0], shoonya_0sUPJLUNLQQ2VA, 6470442]
[paragraph, [214.0, 1248.0, 890.0, 36.0], shoonya_0sUPJLUNLQQ2VA, 6470442]
[paragraph, [214.0, 1284.0, 890.0, 36.0], shoonya_0sUPJLUNLQQ2VA, 6470442]
[paragraph, [214.0, 1320.0, 890.0, 36.0], shoonya_0sUPJLUNLQQ2VA, 6470442]
[paragraph, [214.0, 1356.0, 890.0, 36.0], shoonya_0sUPJLUNLQQ2VA, 6470442]
[paragraph, [214.0, 1392.0, 890.0, 36.0], shoonya_0sUPJLUNLQQ2VA, 6470442]
[paragraph, [214.0, 1428.0, 890.0, 36.0], shoonya_0sUPJLUNLQQ2VA, 6470442]
[paragraph, [214.0, 1464.0, 890.0, 36.0], shoonya_0sUPJLUNLQQ2VA, 6470442]
[paragraph, [214.0, 1500.0, 890.0, 36.0], shoonya_0sUPJLUNLQQ2VA, 6470442]
[paragraph, [214.0, 1536.0, 890.0, 36.0], shoonya_0sUPJLUNLQQ2VA, 6470442]
