[1050, 693]
[folio, [83.0, 78.0, 87.0, 18.0], shoonya_1s9GDUV3C7Z8CN, 5701859]
[folio, [83.0, 96.0, 87.0, 18.0], shoonya_1s9GDUV3C7Z8CN, 5701859]
[paragraph, [83.0, 121.0, 530.0, 18.0], shoonya_2sN15AMF6PTWUT, 5701859]
[paragraph, [83.0, 139.0, 530.0, 18.0], shoonya_2sN15AMF6PTWUT, 5701859]
[paragraph, [83.0, 157.0, 530.0, 18.0], shoonya_2sN15AMF6PTWUT, 5701859]
[paragraph, [83.0, 175.0, 530.0, 18.0], shoonya_2sN15AMF6PTWUT, 5701859]
[paragraph, [83.0, 193.0, 530.0, 18.0], shoonya_2sN15AMF6PTWUT, 5701859]
[paragraph, [83.0, 211.0, 530.0, 18.0], shoonya_2sN15AMF6PTWUT, 5701859]
[paragraph, [83.0, 229.0, 530.0, 18.0], shoonya_2sN15AMF6PTWUT, 5701859]
[paragraph, [83.0, 247.0, 530.0, 18.0], shoonya_2sN15AMF6PTWUT, 5701859]
[paragraph, [83.0, 265.0, 530.0, 18.0], shoonya_2sN15AMF6PTWUT, 5701859]
[paragraph, [83.0, 283.0, 530.0, 18.0], shoonya_2sN15AMF6PTWUT, 5701859]
[paragraph, [83.0, 314.0, 525.0, 18.0], DSniLRrPGp, 5701859]
[paragraph, [83.0, 332.0, 525.0, 18.0], DSniLRrPGp, 5701859]
[paragraph, [83.0, 350.0, 525.0, 18.0], DSniLRrPGp, 5701859]
[paragraph, [82.0, 385.0, 531.0, 18.0], XR85DX4EF4, 5701859]
[paragraph, [82.0, 403.0, 531.0, 18.0], XR85DX4EF4, 5701859]
[paragraph, [82.0, 421.0, 531.0, 18.0], XR85DX4EF4, 5701859]
[paragraph, [82.0, 439.0, 531.0, 18.0], XR85DX4EF4, 5701859]
[paragraph, [82.0, 457.0, 531.0, 18.0], XR85DX4EF4, 5701859]
[paragraph, [80.0, 487.0, 532.0, 18.0], -KuObRvvp1, 5701859]
[paragraph, [80.0, 505.0, 532.0, 18.0], -KuObRvvp1, 5701859]
[paragraph, [80.0, 523.0, 532.0, 18.0], -KuObRvvp1, 5701859]
[paragraph, [81.0, 561.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 579.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 597.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 615.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 633.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 651.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 669.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 687.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 705.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 723.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 741.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [81.0, 759.0, 532.0, 18.0], shoonya_0sUE9XQ8KXYDP0, 5701859]
[paragraph, [78.0, 790.0, 543.0, 18.0], -enKuUUcwZ, 5701859]
[paragraph, [78.0, 808.0, 543.0, 18.0], -enKuUUcwZ, 5701859]
[paragraph, [78.0, 826.0, 543.0, 18.0], -enKuUUcwZ, 5701859]
[paragraph, [78.0, 844.0, 543.0, 18.0], -enKuUUcwZ, 5701859]
[paragraph, [78.0, 862.0, 543.0, 18.0], -enKuUUcwZ, 5701859]
[paragraph, [78.0, 880.0, 543.0, 18.0], -enKuUUcwZ, 5701859]
[paragraph, [78.0, 898.0, 543.0, 18.0], -enKuUUcwZ, 5701859]
[paragraph, [78.0, 916.0, 543.0, 18.0], -enKuUUcwZ, 5701859]
[paragraph, [78.0, 934.0, 543.0, 18.0], -enKuUUcwZ, 5701859]
[paragraph, [78.0, 952.0, 543.0, 18.0], -enKuUUcwZ, 5701859]
