[972, 603]
[paragraph, [54.0, 64.0, 494.0, 18.0], shoonya_0s1R3S9WN2NLOE, 5756444]
[paragraph, [54.0, 82.0, 494.0, 18.0], shoonya_0s1R3S9WN2NLOE, 5756444]
[ordered-list, [52.0, 108.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 126.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 144.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 162.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 180.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 198.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 216.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 234.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 252.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 270.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 288.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 306.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 324.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 342.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 360.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 378.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 396.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 414.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 432.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 450.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 468.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 486.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 504.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 522.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 540.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 558.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 576.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 594.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 612.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 630.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 648.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 666.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 684.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 702.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 720.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 738.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 756.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 774.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 792.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 810.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 828.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 846.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 864.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 882.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[ordered-list, [52.0, 900.0, 516.0, 18.0], 8BwYDFpOnO, 5756444]
[sub-unordered-list, [110.0, 758.0, 452.0, 18.0], gNL7WalO95, 5756444]
[sub-unordered-list, [110.0, 776.0, 452.0, 18.0], gNL7WalO95, 5756444]
[sub-unordered-list, [110.0, 794.0, 452.0, 18.0], gNL7WalO95, 5756444]
[sub-unordered-list, [110.0, 812.0, 452.0, 18.0], gNL7WalO95, 5756444]
[sub-unordered-list, [110.0, 830.0, 452.0, 18.0], gNL7WalO95, 5756444]
[sub-unordered-list, [110.0, 848.0, 452.0, 18.0], gNL7WalO95, 5756444]
[sub-unordered-list, [110.0, 866.0, 452.0, 18.0], gNL7WalO95, 5756444]
[sub-unordered-list, [110.0, 884.0, 452.0, 18.0], gNL7WalO95, 5756444]
[sub-unordered-list, [110.0, 902.0, 452.0, 18.0], gNL7WalO95, 5756444]
