[1650, 1275]
[paragraph, [256.0, 119.0, 855.0, 36.0], shoonya_0s48BC709G4YRC, 5714130]
[paragraph, [256.0, 155.0, 855.0, 36.0], shoonya_0s48BC709G4YRC, 5714130]
[paragraph, [263.0, 227.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 263.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 299.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 335.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 371.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 407.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 443.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 479.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 515.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 551.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 587.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 623.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 659.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 695.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 731.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 767.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 803.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 839.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 875.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 911.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 947.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 983.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1019.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1055.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1091.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1127.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1163.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1199.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1235.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1271.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1307.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1343.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1379.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1415.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
[paragraph, [263.0, 1451.0, 842.0, 36.0], shoonya_1sEK4MAAPAYDL3, 5714130]
