[1650, 1275]
[paragraph, [145.0, 140.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 176.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 212.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 248.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 284.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 320.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 356.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 392.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 428.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 464.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 500.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 536.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [145.0, 572.0, 993.0, 36.0], shoonya_1s4DAYD39X3BQM, 6468755]
[paragraph, [143.0, 638.0, 992.0, 36.0], shoonya_0sVW04GQFQ6O1X, 6468755]
[paragraph, [143.0, 674.0, 992.0, 36.0], shoonya_0sVW04GQFQ6O1X, 6468755]
[paragraph, [143.0, 710.0, 992.0, 36.0], shoonya_0sVW04GQFQ6O1X, 6468755]
[paragraph, [143.0, 746.0, 992.0, 36.0], shoonya_0sVW04GQFQ6O1X, 6468755]
[paragraph, [143.0, 782.0, 992.0, 36.0], shoonya_0sVW04GQFQ6O1X, 6468755]
[paragraph, [143.0, 818.0, 992.0, 36.0], shoonya_0sVW04GQFQ6O1X, 6468755]
[paragraph, [143.0, 854.0, 992.0, 36.0], shoonya_0sVW04GQFQ6O1X, 6468755]
[paragraph, [143.0, 890.0, 992.0, 36.0], shoonya_0sVW04GQFQ6O1X, 6468755]
[paragraph, [143.0, 926.0, 992.0, 36.0], shoonya_0sVW04GQFQ6O1X, 6468755]
[paragraph, [143.0, 962.0, 992.0, 36.0], shoonya_0sVW04GQFQ6O1X, 6468755]
[paragraph, [145.0, 1024.0, 989.0, 36.0], shoonya_3sN1C9F93E4B02, 6468755]
[paragraph, [145.0, 1060.0, 989.0, 36.0], shoonya_3sN1C9F93E4B02, 6468755]
[paragraph, [145.0, 1096.0, 989.0, 36.0], shoonya_3sN1C9F93E4B02, 6468755]
[paragraph, [141.0, 1151.0, 839.0, 36.0], shoonya_4s713V1FZTE6X3, 6468755]
[paragraph, [140.0, 1207.0, 994.0, 36.0], nZ-_vSd_S2, 6468755]
[paragraph, [140.0, 1243.0, 994.0, 36.0], nZ-_vSd_S2, 6468755]
[paragraph, [140.0, 1279.0, 994.0, 36.0], nZ-_vSd_S2, 6468755]
[paragraph, [140.0, 1315.0, 994.0, 36.0], nZ-_vSd_S2, 6468755]
[paragraph, [140.0, 1351.0, 994.0, 36.0], nZ-_vSd_S2, 6468755]
[paragraph, [140.0, 1387.0, 994.0, 36.0], nZ-_vSd_S2, 6468755]
