[1987, 1270]
[folio, [593.0, 119.0, 95.0, 36.0], shoonya_1s92TX1KSTKH6G, 5682368]
[paragraph, [128.0, 193.0, 1018.0, 36.0], shoonya_3sX2O2DX0L1ASE, 5682368]
[paragraph, [128.0, 229.0, 1018.0, 36.0], shoonya_3sX2O2DX0L1ASE, 5682368]
[paragraph, [128.0, 265.0, 1018.0, 36.0], shoonya_3sX2O2DX0L1ASE, 5682368]
[paragraph, [128.0, 301.0, 1018.0, 36.0], shoonya_3sX2O2DX0L1ASE, 5682368]
[paragraph, [128.0, 337.0, 1018.0, 36.0], shoonya_3sX2O2DX0L1ASE, 5682368]
[paragraph, [128.0, 373.0, 1018.0, 36.0], shoonya_3sX2O2DX0L1ASE, 5682368]
[paragraph, [129.0, 451.0, 1016.0, 36.0], shoonya_4sIK45OQCKL8J2, 5682368]
[paragraph, [129.0, 487.0, 1016.0, 36.0], shoonya_4sIK45OQCKL8J2, 5682368]
[paragraph, [129.0, 523.0, 1016.0, 36.0], shoonya_4sIK45OQCKL8J2, 5682368]
[paragraph, [129.0, 559.0, 1016.0, 36.0], shoonya_4sIK45OQCKL8J2, 5682368]
[paragraph, [129.0, 595.0, 1016.0, 36.0], shoonya_4sIK45OQCKL8J2, 5682368]
[paragraph, [129.0, 631.0, 1016.0, 36.0], shoonya_4sIK45OQCKL8J2, 5682368]
[paragraph, [129.0, 667.0, 1016.0, 36.0], shoonya_4sIK45OQCKL8J2, 5682368]
[paragraph, [128.0, 716.0, 1019.0, 36.0], shoonya_5sISAL0RHFJO18, 5682368]
[paragraph, [128.0, 752.0, 1019.0, 36.0], shoonya_5sISAL0RHFJO18, 5682368]
[paragraph, [128.0, 788.0, 1019.0, 36.0], shoonya_5sISAL0RHFJO18, 5682368]
[paragraph, [128.0, 824.0, 1019.0, 36.0], shoonya_5sISAL0RHFJO18, 5682368]
[paragraph, [128.0, 860.0, 1019.0, 36.0], shoonya_5sISAL0RHFJO18, 5682368]
[paragraph, [128.0, 896.0, 1019.0, 36.0], shoonya_5sISAL0RHFJO18, 5682368]
[paragraph, [128.0, 932.0, 1019.0, 36.0], shoonya_5sISAL0RHFJO18, 5682368]
[paragraph, [128.0, 968.0, 1019.0, 36.0], shoonya_5sISAL0RHFJO18, 5682368]
[paragraph, [128.0, 1004.0, 1019.0, 36.0], shoonya_5sISAL0RHFJO18, 5682368]
[paragraph, [124.0, 1084.0, 1023.0, 36.0], shoonya_6sAX5SSCG7N26E, 5682368]
[paragraph, [124.0, 1120.0, 1023.0, 36.0], shoonya_6sAX5SSCG7N26E, 5682368]
[paragraph, [124.0, 1156.0, 1023.0, 36.0], shoonya_6sAX5SSCG7N26E, 5682368]
[paragraph, [124.0, 1192.0, 1023.0, 36.0], shoonya_6sAX5SSCG7N26E, 5682368]
[paragraph, [124.0, 1228.0, 1023.0, 36.0], shoonya_6sAX5SSCG7N26E, 5682368]
[paragraph, [124.0, 1264.0, 1023.0, 36.0], shoonya_6sAX5SSCG7N26E, 5682368]
[paragraph, [124.0, 1300.0, 1023.0, 36.0], shoonya_6sAX5SSCG7N26E, 5682368]
[paragraph, [124.0, 1336.0, 1023.0, 36.0], shoonya_6sAX5SSCG7N26E, 5682368]
[paragraph, [124.0, 1372.0, 1023.0, 36.0], shoonya_6sAX5SSCG7N26E, 5682368]
[paragraph, [124.0, 1408.0, 1023.0, 36.0], shoonya_6sAX5SSCG7N26E, 5682368]
[paragraph, [126.0, 1455.0, 1020.0, 36.0], Bp5avHnuww, 5682368]
[paragraph, [126.0, 1491.0, 1020.0, 36.0], Bp5avHnuww, 5682368]
[paragraph, [126.0, 1527.0, 1020.0, 36.0], Bp5avHnuww, 5682368]
[paragraph, [126.0, 1563.0, 1020.0, 36.0], Bp5avHnuww, 5682368]
[paragraph, [126.0, 1599.0, 1020.0, 36.0], Bp5avHnuww, 5682368]
[paragraph, [126.0, 1635.0, 1020.0, 36.0], Bp5avHnuww, 5682368]
[paragraph, [126.0, 1671.0, 1020.0, 36.0], Bp5avHnuww, 5682368]
[paragraph, [126.0, 1707.0, 1020.0, 36.0], Bp5avHnuww, 5682368]
[paragraph, [126.0, 1743.0, 1020.0, 36.0], Bp5avHnuww, 5682368]
[paragraph, [177.0, 1820.0, 971.0, 36.0], sR1BA_reHr, 5682368]
