[794, 624]
[paragraph, [32.0, 32.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 50.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 68.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 86.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 104.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 122.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 140.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 158.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 176.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 194.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 212.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 230.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 248.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 266.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [32.0, 284.0, 190.0, 18.0], r27oIEe4Ig, 5712392]
[paragraph, [221.0, 35.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 53.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 71.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 89.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 107.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 125.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 143.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 161.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 179.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 197.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 215.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [221.0, 233.0, 181.0, 18.0], UODBUV_bVu, 5712392]
[paragraph, [406.0, 35.0, 185.0, 18.0], o_qawZCp3_, 5712392]
[paragraph, [406.0, 53.0, 185.0, 18.0], o_qawZCp3_, 5712392]
[paragraph, [406.0, 71.0, 185.0, 18.0], o_qawZCp3_, 5712392]
[paragraph, [406.0, 89.0, 185.0, 18.0], o_qawZCp3_, 5712392]
[paragraph, [406.0, 107.0, 185.0, 18.0], o_qawZCp3_, 5712392]
[paragraph, [406.0, 125.0, 185.0, 18.0], o_qawZCp3_, 5712392]
[paragraph, [406.0, 143.0, 185.0, 18.0], o_qawZCp3_, 5712392]
[paragraph, [406.0, 161.0, 185.0, 18.0], o_qawZCp3_, 5712392]
