[1795, 1184]
[paragraph, [183.0, 136.0, 717.0, 36.0], 7Ct4VBXIZQ, 5750122]
[paragraph, [186.0, 193.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 229.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 265.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 301.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 337.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 373.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 409.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 445.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 481.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 517.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 553.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [186.0, 589.0, 873.0, 36.0], shoonya_1sC3A3W8P2XQAK, 5750122]
[paragraph, [190.0, 633.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 669.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 705.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 741.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 777.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 813.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 849.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 885.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 921.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 957.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 993.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 1029.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 1065.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 1101.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 1137.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [190.0, 1173.0, 874.0, 36.0], shoonya_0sFJNC7DULA8Z5, 5750122]
[paragraph, [189.0, 1234.0, 871.0, 36.0], shoonya_2sK4BTMBSN0KHG, 5750122]
[paragraph, [189.0, 1270.0, 871.0, 36.0], shoonya_2sK4BTMBSN0KHG, 5750122]
[paragraph, [189.0, 1306.0, 871.0, 36.0], shoonya_2sK4BTMBSN0KHG, 5750122]
[paragraph, [189.0, 1342.0, 871.0, 36.0], shoonya_2sK4BTMBSN0KHG, 5750122]
[paragraph, [189.0, 1378.0, 871.0, 36.0], shoonya_2sK4BTMBSN0KHG, 5750122]
[paragraph, [189.0, 1414.0, 871.0, 36.0], shoonya_2sK4BTMBSN0KHG, 5750122]
[paragraph, [189.0, 1450.0, 871.0, 36.0], shoonya_2sK4BTMBSN0KHG, 5750122]
[paragraph, [189.0, 1486.0, 871.0, 36.0], shoonya_2sK4BTMBSN0KHG, 5750122]
