[1350, 900]
[folio, [199.0, 208.0, 206.0, 18.0], shoonya_6sOGWRQTI3VC9K, 5759994]
[paragraph, [161.0, 255.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 273.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 291.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 309.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 327.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 345.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 363.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 381.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 399.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 417.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 435.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 453.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 471.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 489.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 507.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 525.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 543.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 561.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 579.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 597.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 615.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [161.0, 633.0, 571.0, 18.0], shoonya_3sYWR9CH8Q0361, 5759994]
[paragraph, [158.0, 670.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 688.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 706.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 724.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 742.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 760.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 778.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 796.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 814.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 832.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 850.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [158.0, 868.0, 567.0, 18.0], shoonya_7sB7Y44TXE59TD, 5759994]
[paragraph, [155.0, 899.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 917.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 935.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 953.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 971.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 989.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 1007.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 1025.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 1043.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 1061.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 1079.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 1097.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 1115.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
[paragraph, [155.0, 1133.0, 568.0, 18.0], shoonya_4sJM6BGLT7CW9D, 5759994]
